name,birth,incoming_links,outgoing_links
Bas C. van Fraassen, (born 1941),Wilfrid Sellars:Adolf Grünbaum:Hans Reichenbach:Jean-Paul Sartre:Albert Camus:,Alvin Plantinga:Michael Rea:Elisabeth Lloyd:Arthur Fine:Hans Halvorson:Nancy Cartwright:
Peter van Inwagen, (born 1942),Alvin Plantinga:,
Lucilio Vanini, (1585–1619),Julius Caesar Scaliger:Pietro Pomponazzi:Paolo Sarpi:Gerolamo Cardano:Simone Porzio:,Charles Blount:
Emerich de Vattel, (1714–1767),Hugo Grotius:Gottfried Wilhelm Leibniz:Samuel Puffendorf:Jean-Jacques Burlamaqui: Christian Wolff:,Benjamin Franklin:Western philosophers:Alexander Hamilton:George Washington:
Gianni Vattimo, (born 1936),Hans-Georg Gadamer:Richard Rorty:Karl Marx:Karl Löwith:Friedrich Nietzsche:Martin Heidegger:John Caputo:Luigi Pareyson:,Lorenzo Ferrero:Richard Rorty:Mario Kopić:Maurizio Ferraris:Stefan Lorenz Sorgner:
Giambattista Vico, (1668–1744),Suárez:Grotius:Machiavelli:Pufendorf:Aristotle:Aquinas:Plato:Cicero:Malebranche:Augustine:Bacon:Selden:Dante:Tacitus:Herodotus:Hobbes:Leibniz:Duns Scotus:Varro:,Goethe:Said:Voegelin:Hösle:Sorel:Foscolo:Ferrari:Evola:Marx:McLuhan:Cattaneo:Coleridge:Croce:Cortés:Lomonaco:Levi:Preve:Castoriadis:Collingwood:Maistre:Gramsci:Auerbach:Frye:Hegel:Alberdi:Berlin:Hillman:White:Michelet:Cuoco:Quinet:Joyce:
Swami Vivekananda, (1863–1902),,Mahatma Gandhi:Sarvepalli Radhakrishnan:Jagadish Chandra Bose:Annie Besant:Jamsetji Tata:Romain Rolland:Sarah Bernhardt:Aurobindo Ghose:Chakravarti Rajagopalachari:Rabindranath Tagore:Jawaharlal Nehru:Subhas Chandra Bose:Narendra Modi:Anna Hazare:Bal Gangadhar Tilak:Bagha Jatin:Emma Calvé:
Eric Voegelin, (1901–1985),Hans Urs von Balthasar:Henri Bergson:Pre-Socratic philosophers:Aristotle:F. W. J. Schelling:Alfred North Whitehead:William James:Henri de Lubac:John R. Commons:Plato:Max Weber:Thomas Mann:Alfred Schütz:Edmund Husserl:Thomas Aquinas:Hans Jonas:Hans-Georg Gadamer:Jean Bodin:Ludwig von Mises:Leo Strauss:Eduard Meyer:Augustine of Hippo:,Bruno Latour:Olavo de Carvalho:James V. Schall:Russell Kirk:Frederick Lawrence:Ellis Sandoz:Flannery O'Connor:Jürgen Gebhardt:de:Rudolf Bultmann:Raymond Aron:Robert George:Martin Palouš:William Havard:Leo Strauss:fr:Robert B. Heilman:Sir Roger Scruton:Thierry Gontier:Walker Percy:William F. Buckley Jr.:
Carl Vogt, (1817–1895),Louis Agassiz:Justus von Liebig:,Ivan Pavlov:
Voltaire, (1694–1778),Moliere:Alexander Pope:Homer:Emilie de Chatelet:Isaac Newton:Jacques-Bénigne Bossuet:Pierre Corneille:Miguel de Cervantes:Lucian:Plato:Cicero:Virgil:Pierre Bayle:Confucius:Epicurus:Gottfried Wilhelm Leibniz:Francis Bacon:Jean Racine:Lucretius:Jean Meslier:William Shakespeare:John Locke:Ibn Tufail:,Percy Bysshe Shelley:William Godwin:Christopher Hitchens:Emilie de Chatelet:Kermani:Karl Marx:Denis Diderot:Napoleon:Frederick the Great:Catherine the Great:Jeremy Bentham:Mary Wollstonecraft:Jean-Jacques Rousseau:Jorge Luis Borges:Thomas Paine:Gustave Flaubert:Victor Hugo:Lord Byron:Johann Wolfgang von Goethe:Alexander Herzen:David Strauss:Friedrich Nietzsche:Vissarion Belinsky:
