name,birth,incoming_links,outgoing_links
John Gray (philosopher), (born 1948),James Lovelock:Emil Cioran:Karl Polanyi:John Stuart Mill:Arthur Schopenhauer:Isaiah Berlin:Michael Oakeshott:,
Thomas Hill Green, (1836–1882),Benjamin Jowett:F. D. Maurice:Immanuel Kant:G. W. F. Hegel:,Hastings Rashdall:John Dewey:C. B. Macpherson:John Cook Wilson:Leonard Hobhouse:R. L. Nettleship:Samuel Alexander:J. H. Muirhead:F. H. Bradley:David George Ritchie:
Gregory of Rimini, (d. 1358),Augustine:William of Ockham:Petrus Aureolus:,Hugolino of Orvieto:Marsilius of Inghen:Pierre d'Ailly:Pierre Ceffons:Martin Luther:Pope Alexander V:James of Eltville:Henry of Langenstein:
Paul Grice, (1913–1988),Aristotle:Peter Strawson:,Stephen Schiffer:Stephen Neale:Jonathan Bennett:Kent Bach:Deirdre Wilson:Stephen Levinson:John Searle:Peter Strawson:Ernest Lepore:Dan Sperber:
Robert Grosseteste, (1175–1253),Anselm of Canterbury:Averroes:,Roger Bacon:Thomas Hobbes:Thomas Bradwardine:
Hugo Grotius, (1583–1645),Francisco Suárez:Jean Bodin:Justus Lipsius:Alberico Gentili:,Thomas Hobbes:Samuel von Pufendorf:Christian Thomasius:Gottfried Wilhelm Leibniz:Vico:Cornelius van Bynkershoek:Jean-Jacques Rousseau:Gustav II Adolf:John Selden:Jean Barbeyrac:John Locke:Baruch Spinoza:John Milton:Richard Cumberland:
Adolf Grunbaum, (1923–2018),Hans Reichenbach:,
Susan Haack, (born 1945),W. V. O. Quine:Frank P. Ramsey:C. S. Peirce:Francis Bacon:,Luciano Floridi:
Jürgen Habermas, (born 1929),Heidegger:Kant:Wittgenstein:Freud:Austin:Kierkegaard:Marx:Schelling:Durkheim:Dilthey:Adorno:Weber:Horkheimer:Parsons:Bühler:Abendroth:Hegel:Rawls:Apel:Peirce:Dewey:Piaget:Marcuse:Mead:,Honneth:Kompridis:Friedman:Benhabib:Forst:Hoppe:McCarthy:Offe:Wilber:Gould:Fraser:
Ian Hacking, (born 1936),Charles Sanders Peirce:Ludwig Wittgenstein:Nelson Goodman:Michel Foucault:Paul Feyerabend:J. L. Austin:Casimir Lewy:Thomas Kuhn:,David Papineau:
Johann Georg Hamann, (1730–1788),Calvin:William of Ockham:Luther:Henry VIII:Hume:Knutzen:,Jacobi:Goethe:Hegel:Herder:Wittgenstein:Kraus:Berlin:Kierkegaard:Schelling:Milbank:
Sir William Hamilton, 9th Baronet, (1788–1856),Victor Cousin:Thomas Reid:Immanuel Kant:,Herbert Spencer:John Veitch:James Hutchison Stirling:John Stuart Mill:
Stuart Hampshire, (1914–2004),Baruch Spinoza:A. J. Ayer:Maurice Merleau-Ponty:,
Alastair Hannay, (born 1932),Søren Kierkegaard:Jean-Paul Sartre:Bernard Williams:A. J. Ayer:,
Norwood Russell Hanson, (1922–1967),Ludwig Wittgenstein:,Thomas Kuhn:
Michael Hardt, (born 1960),Michel Foucault:Gilles Deleuze:Karl Marx:Antonio Gramsci:Giorgio Agamben:Félix Guattari:Antonio Negri:,
R. M. Hare, (1919–2002),Ludwig Wittgenstein:A. J. Ayer:J. L. Austin:Henry Sidgwick:Gilbert Ryle:Immanuel Kant:,Gary Varner:Derek Parfit:Peter Singer:Aaron Sloman:Allan Gibbard:Bernard Williams:John E. Hare:Brian McGuinness:
Gilbert Harman, (born 1938),Willard Van Orman Quine:Noam Chomsky:,Stephen Stich:Joshua Knobe:
H. L. A. Hart, (1907–1992),Friedrich Waismann:Ludwig Wittgenstein:J. L. Austin:John Austin:Max Weber:Hans Kelsen:Jeremy Bentham:,Tony Honoré:Laurence Houlgate:John Rawls:Joel Feinberg:Paul Kelly:Neil MacCormick:John Gardner:Leslie Green:Norman P. Barry:
David Hartley (philosopher), (1705–1757),Isaac Newton:Thomas Reid:John Locke:,William Wordsworth:Joseph Priestley:William James:James Mill:
Eduard Von Hartmann, (1842–1906),Friedrich Wilhelm Joseph Schelling:Georg Wilhelm Friedrich Hegel:Arthur Schopenhauer:Max Stirner:Carl Gustav Carus:,Arthur Drews:Rudolf Steiner:Hans Vaihinger:Sigmund Freud:Johannes Rehmke:Carl Jung:
Nicolai Hartmann, (1882–1950),G. W. F. Hegel:Paul Natorp:Plato:Max Scheler:Hermann Cohen:Immanuel Kant:,Martin Heidegger:Jitendra Nath Mohanty:Max Scheler:
Charles Hartshorne, (1897–2000),Charles Sanders Peirce:Alfred North Whitehead:Jules Lequier:William Ernest Hocking:Josiah Royce:,John B. Cobb:Donald W. Viney:David Ray Griffin:
Georg Wilhelm Friedrich Hegel, (1770–1831),Diderot:Heraclitus:Goethe:Ferguson:Fichte:Böhme:Kant:Schiller:Ibn Khaldun:Herder:Luther:Plato:Spinoza:Adam Smith:Aristotle:Rousseau:Schelling:,Malaka:Taylor:Badiou:Fischer:Proudhon:Lukács:Green:Bradley:Kierkegaard:Marx:Bosanquet:Dunayevskaya:Adorno:Chalybäus:Stirner:Croce:McDowell:Feuerbach:Bauer:Bueno:Butler:Kaufmann:Stein:Chicherin:Collingwood:Russon:Lenin:Pippin:Cousin:Sartre:Zubiri:Engels:Fukuyama:Bakunin:Hyppolite:Bluntschli:Rosenkranz:Küng:Quito:de Beauvoir:Derrida:Kojève:Rose:Leo Strauss:Žižek:Bulgakov:David Strauss:Barth:Brandom:Marcuse:Gentile:Singer:Nietzsche:
Martin Heidegger, (1889–1976),Anaximander:Kant:Jaspers:Husserl:Parmenides:Aristotle:Kierkegaard:Aquinas:Brentano:Heraclitus:Hartmann:Dilthey:Lask:Count Yorck:Plato:Augustine:Rickert:Hegel:Hölderlin:Jakob von Uexküll:Laozi:Thomas of Erfurt:Duns Scotus:Nietzsche:,Gadamer:Jaspers:Levinas:Bultmann:Patočka:Beaufret:Borgmann:Marion:Jonas:Dreyfus:Stiegler:Löwith:Arendt:Agamben:Meillassoux:El-Bizri:Harman:Marcel:Rorty:Sartre:Zubiri:Merleau-Ponty:Nancy:Strauss:Norberg-Schulz:Habermas:Dugin:de Beauvoir:Derrida:Rahner:Schürmann:Sloterdijk:Foucault:Blanchot:Marcuse:Kuki:
Ágnes Heller, (1929–2019),G. W. F. Hegel:William Shakespeare:Karl Marx:György Márkus:György Lukács:,
Claude Adrien Helvétius, (1715–1771),Condillac:Locke:,Beccaria:Darwin:Plekhanov:Bentham:Freud:Nietzsche:Marx:
Carl Gustav Hempel, (1905–1997),Hans Reichenbach:Rudolf Carnap:,Wesley C. Salmon:Lawrence Sklar:Nelson Goodman:Richard Jeffrey:Jaegwon Kim:Philip Kitcher:Robert Nozick:John Earman:Peter Achinstein:
Henry of Harclay, (1270–1317),John Duns Scotus:,William of Ockham:
Michel Henry, (1922–2002),Hyppolite:Wahl:Meister Eckhart:Biran:Husserl:Gouhier:Alquié:,Marion:
Heraclitus, (ca. 535–475 BC),Anaximenes:Thales:Anaximander:Bias of Priene:,Heidegger:Jung:D. H. Lawrence:Empedocles:Anaxagoras:Whitehead:Heracliteans:Parmenides:McTaggart:Western philosophy:Popper:Plato:Stoicism:Cratylus:Pater:Spengler:Hegel:Lassalle:Engels:Antisthenes:Nietzsche:
Johann Friedrich Herbart, (1776–1841),Immanuel Kant:Johann Gottlieb Fichte:,Hermann Lotze:Moritz Wilhelm Drobisch:Edmund Husserl:Gustav Hartenstein:Antonio Labriola:Immanuel Hermann Fichte:Wilhelm Windelband:Friedrich Eduard Beneke:
Johann Gottfried Herder, (1744–1803),Kalidasa:Baruch Spinoza:Johann Georg Hamann:Johann Joachim Winckelmann:Thomas Blackwell:Thomas Abbt:Immanuel Kant:,Wilhelm von Humboldt:J. S. Mill:August Wilhelm Schlegel:Johann Wolfgang von Goethe:Franz Boas:Walter Rauschenbusch:Karl Wilhelm Friedrich Schlegel:Wilhelm Dilthey:Ľudovít Štúr:Johann Christoph Adelung:Friedrich Nietzsche:Hippolyte Taine:Friedrich Schleiermacher:G. W. F. Hegel:
Alexander Herzen, (1812–1870),Rousseau:Hegel:Proudhon:Voltaire:,Bakunin:Trotsky:Stalin:Castro:Berlin:Mao:Frankfurt School:Goldman:Darwin:Kropotkin:Guevara:Freud:Lenin:Nietzsche:Marx:Sartre:Engels:
John Hick, (1922–2012),Ludwig Wittgenstein:Mahatma Gandhi:David Hume:John Baillie:Wilfred Cantwell Smith:Thomas Aquinas:Augustine of Hippo:Irenaeus:Immanuel Kant:,
Hildegard of Bingen, (1098–1179),John the Evangelist:Bernard of Clairvaux:New Testament:Paul the Apostle:Old Testament:Genesis:John Scotus Eriugena:Augustine of Hippo:Jutta von Sponheim:,Abbot Suger:Anastasius IV:Volmar:Eugene III:Mélanie Lipinska:Rudolf Steiner:Elisabeth of Schönau:Frederick I Barbarossa:Margot Fassler:New Age movement:Grace McLean:constructed language:
Thomas Hobbes, (1588–1679),Thucydides:Tacitus:Hugo Grotius:Niccolò Machiavelli:Epicurus:Francis Bacon:William of Ockham:Thomas White:Plato:Paolo Sarpi:Robert Grosseteste:Cicero:Roger Bacon:Aristotle:René Descartes:,political:sociology:legal:
William Ernest Hocking, (1873–1966),Josiah Royce:,
Harald Høffding, (1843–1931),Gottfried Leibniz:Baruch Spinoza:Confucius:,
Baron d'Holbach, (1723–1789),Hobbes:Pierre Bayle:Bolingbroke:,Danton:Onfray:Darwin:Kant:Weishaupt:Freud:Nietzsche:Marx:Desmoulins:Marat:
Sidney Hook, (1902–1989),John Dewey:Karl Marx:Morris Raphael Cohen:Bertrand Russell:,Morris Janowitz:Barbara Branden:Paul Kurtz:Lionel Trilling:
Max Horkheimer, (1895–1973),Cornelius:Dilthey:Adorno:Hegel:Pollock:Kant:Freud:Schopenhauer:Marx:,Habermas:Adorno:Fromm:Benjamin:Marcuse:
Jennifer Hornsby, (born 1951),Donald Davidson:John L. Austin:Bernard Williams:,Rae Langton:Nancy Bauer:
Hu Shih, (1891–1962),,Li Ao:
Wilhelm von Humboldt, (1767–1835),Christian Jakob Kraus:Johann Gottfried Herder:Immanuel Kant:J. G. Fichte:,August Schleicher:John Stuart Mill:Alexander Potebnja:Ernst Cassirer:Valentin Voloshinov:Joxe Azurmendi:Noam Chomsky:
David Hume, (1711–1776),Hutcheson:Hobbes:Malebranche:Newton:Cicero:Rousseau:Bayle:Locke:Smith:Berkeley:,Mackie:Kant:Dennett:Husserl:Deleuze:Borges:James:Marx:Western philosophy:Fodor:Popper:Russell:Jefferson:Einstein:Madison:Keynes:Gibbon:Blackburn:Mill:Hamilton:Hamann:Schopenhauer:Reid:Rousseau:Voltaire:Smith:Paine:Chomsky:Ayer:
Jan Hus, (1369–1415),Conrad Waldhauser:John Wycliffe:,John Wesley:Jerome of Prague:Martin Luther:John Calvin:Henry VIII:Savonarola:
Edmund Husserl, (1859–1938),Bolzano:Kerry:Rickert:Weierstrass:Lotze:Masaryk:Stumpf:Kant:Descartes:Natorp:Plato:Leibniz:Hume:Windelband:Brentano:,Carnap:Farber:Mises:Heidegger:Willard:Scheler:Gallagher:Levinas:Köchler:Western philosophy:Zahavi:Sellars:Patočka:Marion:Fink:Schütz:Stiegler:Stein:Ryle:Ingarden:Kołakowski:Weyl:Gödel:Ortega y Gasset:Putnam:Blumenberg:Henry:Wojtyła:Marcel:Sartre:Smith:Zubiri:Merleau-Ponty:Strauss:Derrida:Ricœur:Landgrebe:Dussel:Przywara:Reinach:
Francis Hutcheson (philosopher), (1694–1746),John Locke:Cicero:Shaftesbury:Richard Cumberland:Samuel Pufendorf:,Adam Smith:David Hume:Jeremy Bentham:Joseph Butler:
Thomas Henry Huxley, (1825–1895),Charles Darwin:Edward Forbes:,Julian Huxley:E. Ray Lankester:Aldous Huxley:Henry Fairfield Osborn:H. G. Wells:Hubert Harrison:William Henry Flower:
Hypatia of Alexandria, (370–415),Theon of Alexandria:Aristotle:Plato:Plotinus:,Damascius:Synesius of Cyrene:
Jean Hyppolite, (1907–1968),Jean Cavaillès:Karl Marx:Georg Wilhelm Friedrich Hegel:,Jacques Derrida:Étienne Balibar:Michel Foucault:Gilles Deleuze:Alain Badiou:Gérard Granel:
Iamblichus (philosopher), (ca. 245 AD-ca. 325),Porphyry:Neopythagoreanism:Pythagoras:Plato:Aristotle:,Proclus:Aedesius:
Ibn Arabi, (1164–1240),Ibn al-Arif:Hadith:Ibn Qasi:Ibn Masarra:al-Tamimi:Abu Madyan:Ibn Barrajan:Qur'an:,Sidi Bou Said:Yahya Efendi:Naquib al-Attas:al-Fanārī:Schuon:al-Jīlī:Yusuf an-Nabhani:Ibn al-Farid:Mahmoud:Bitlisi:Mulla Sadra:Nasr:'Iraqi:Valsan:Amuli:Guénon:Abdelkader:Jami:Corbin:Fairuzabadi:Qunawi:Qayṣarī:Hamzah Fansuri:Abd al-Ghani:al-Alawi:Shah Waliullah:Hamadani:Nursî:al-Sha'rani:Ahmed Mohammed al-Maqqari:Nurbakhsh:al-Suyuti:Shabestari:Ismail Hakki Bursevi:Ni'matullah:Ibn Ajiba:al-Shushtari:
Ibn Hazm, (994–1069),Epicurus:Ibn al-Mughallis:Muhammad bin Dawud al-Zahiri:Dawud al-Zahiri:Prodicus:,Muhammad Nasiruddin al-Albani:Rashid Rida:Muhammad Asad:Ibn Khaldun:madhab:Zahiri:
Ibn Khaldun, (1332–1406),Al-Ghazali:Al-Farabi:Ibn Jarir:At-Turtushi:Ibn Hazm:Al-Jahiz:Averroes:Aristotle:Avempace:Ibn Abi Zar:,Ibn al-Azraq:Machiavelli:Schuon:Ibn al-Sakkak:Nasr:Amel:Çelebi:Mustafa Naima:Toynbee:Ahmed Cevdet:Al-Maqrizi:Hegel:Ibn al-Khatib:Guenon:Hume:Smith:Ricardo:Laffer:Reagan:
Ibn Miskawayh, (940–1030),al-Kindi:Adurbad-e Mahrspandan:,Nasir al-Din Tusi:Mulla Sadra:
Ibn Sabin, (1217–1268),Averroes:Avicenna:Brethren of Purity:Hadith:al-Farabi:Avempace:Ibn Masarra:Ibn Qasi:al-Hallaj:Ibn Tufail:'Ilm al-Huruf:Ibn Barrajan:Qur'an:,Afif al-Din Sulayman al Tilimsani:al-Kashani al-Fargani:Ramon Llull:Badr al-Din Hasan Ibn Hud:al-Shushtari:
Ibn Taymiya, (1263–1328),Muhammad ibn Karram:Abdul Qadir Gilani:Al-Hasan ibn 'Ali al-Barbahari:,Ibn Al-Qayyim:Ibn Muflih:Ibn Kathir:Al-Maqrizi:Rashid Rida:Muhammad ibn Abd al-Wahhab:al-Dhahabi:Ibn al-Wardi:Safar Al-Hawali:Yusuf ibn Abd al-Rahman al-Mizzi:Ibn Abd al-Hadi:Ibn Rajab al-Hanbali:
Ibn Tufail, (1110–1185),Avicenna:Ibn Bajjah:Al-Farabi:Avicennism:Ibn Tumart:Plato:Aristotle:Muhammad:Abu Yaqub Yusuf:,Averroes:Ibn al-Nafis:Alpetragius:
Evald Vassilievich Ilyenkov, (1924–1979),Marx:Hegel:Vygotsky:Lenin:Spinoza:Engels:,Vasily Davydov:Sergei Mareev:Valerij Kovalenko:Lev Naumenko:
Roman Ingarden, (1893–1970),Kazimierz Twardowski:Immanuel Kant:Edmund Husserl:,Anna-Teresa Tymieniecka:René Wellek:Pope John Paul II:Wolfgang Iser:
Muhammad Iqbal, (1877–1938),Thomas Walker Arnold:Sayyid Ali Hujwiri:Johann Wolfgang von Goethe:Bismil Azimabadi:Abd al-Karīm al-Jīlī:Syed Mir Hassan:Rumi:Henri Bergson:Friedrich Nietzsche:Jami:Mir Sayyid Ali Hamadani:Vladimir Lenin:,Syed Jawad Naqvi:Israr Ahmed:Fateh Muhammad Malik:Islamic Republic of Pakistan:Abul A'la Maududi:Dewan Mohammad Azraf:Muhammad Asad:Khushwant Singh:Muhammad Ishaq Madni:Muhammad Ali Jinnah:Pakistan Movement:Ali Shariati:Ale Ahmed Suroor:Faiz Ahmed Faiz:
Luce Irigaray, (born 1930),Jacques Derrida:Maurice Merleau-Ponty:Sigmund Freud:Jacques Lacan:Emmanuel Levinas:Martin Heidegger:,Elizabeth Grosz:Catherine Malabou:Judith Butler:
Frank Cameron Jackson, (born 1943),Brian Ellis:,
Friedrich Heinrich Jacobi, (1743–1819),David Hume:Thomas Reid:Goethe:Christian Wolff:Kant:Mendelssohn:Adam Smith:Leibniz:Hamann:Spinoza:,Fichte:Heidegger:Hegel:Leo Strauss:Mendelssohn:Fries:Ludwig Feuerbach:Kierkegaard:Schelling:Cousin:
William James, (1842–1910),Hermann Helmholtz:Pierre Janet:David Hartley:David Hume:Charles Sanders Peirce:Bernhard Riemann:Emanuel Swedenborg:Louis Agassiz:Ernst Mach:Jules Lequier:John Stuart Mill:Charles Bernard Renouvier:William Kingdon Clifford:Afrikan Spir:F. C. S. Schiller:,John Dewey:Bertrand Russell:Henri Bergson:F. C. S. Schiller:Alfred North Whitehead:Richard Rorty:Gertrude Stein:C. Wright Mills:William Sheldon:Morris Raphael Cohen:Alfred Schütz:Hilary Putnam:Antonio Damasio:Edmund Husserl:Edwin Holt:Marilynne Robinson:George Santayana:Robert Frost:Émile Durkheim:W. E. B. Du Bois:Jimmy Carter:
Fredric Jameson, (born 1934),Theodor Adorno:Darko Suvin:Ernst Bloch:Louis Althusser:Frankfurt School:Karl Marx:Northrop Frye:Jean-Paul Sartre:Hegel:Philip K. Dick:Raymond Williams:Ursula K. Le Guin:Walter Benjamin:Kenneth Burke:György Lukács:Erich Auerbach:Vladimir Lenin:,Mark Fisher:Alexander R. Galloway:Kim Stanley Robinson:Slavoj Žižek:Gopal Balakrishnan:Perry Anderson:
Vladimir Jankélévitch, (1903–1985),Georg Simmel:Lev Shestov:Henri Bergson:Friedrich Wilhelm Joseph von Schelling:,Arnold Davidson:Cynthia Fleury:Emmanuel Levinas:
Karl Jaspers, (1883–1969),Meister Eckhart:Friedrich Nietzsche:Georg Wilhelm Friedrich Hegel:Nicolaus Cusanus:Max Weber:Martin Heidegger:Spinoza:Søren Kierkegaard:Immanuel Kant:,Hans-Georg Gadamer:Heinrich Blücher:Hannah Arendt:Paul Ricœur:William A. Earle:
Thomas Jefferson, (1743–1826),Montesquieu:William Robertson:David Hume:Destutt de Tracy:Francis Bacon:Bolingbroke:Jesus of Nazareth:Isaac Newton:John Locke:William Blackstone:Edward Gibbon:Voltaire:,Benjamin Tucker:James Monroe:Albert Jay Nock:
Richard C. Jeffrey, (1926–2002),Thomas Bayes:Carl Hempel:Rudolf Carnap:,
Rudolf von Jhering, (1818–1892),Charles Darwin:F. C. von Savigny:Jeremy Bentham:,Karl Llewellyn:Philipp Heck:
John of Damascus, (c. 676–749),Athanasius of Alexandria:Gregory of Nazianzus:Cyril of Alexandria:Leo the Great:John Chrysostum:Paul the Apostle:Plato:Neoplatonism:Aristotle:Gregory of Nyssa:Latin Christianity:Basil of Caesarea:,Scholasticism:Eastern:Christian philosophy:Hesychasm:Second Council of Nicaea:Western:
Carl Jung, (1875–1961),Bleuler:Heraclitus:Goethe:Hartmann:Laozi:Meister Eckhart:Moltzer:Kant:Nietzsche:Schiller:Freud:Janet:Schopenhauer:Carus:James:Flournoy:,Jean Piaget:Alan Watts:Wolfgang Pauli:Terence McKenna:Sonu Shamdasani:Jordan Peterson:James Hillman:Ross Nichols:Robert Anton Wilson:Freud:Arnold J. Toynbee:Philip K. Dick:Hermann Hesse:Erich Neumann:Gaston Bachelard:Carl Rogers:Joseph Campbell:
Al-Juwayni, (1028–1085),,Abu Hamid al-Ghazali:
Immanuel Kant, (1724–1804),Lucretius:Baumgarten:Swedenborg:Euclid:Newton:Empiricus:Plato:Hume:Descartes:Leibniz:Crusius:Hamann:Aristotle:Wolff:Rousseau:Tetens:Smith:Locke:,Carnap:Fichte:Larijani:Heidegger:Jaspers:Herder:Schelling:Western philosophy:Guyer:Beneke:Popper:Beck:Bolzano:Jacobi:Hegel:Rawls:Schleiermacher:Frege:Maimon:Schopenhauer:Zeller:Peirce:Habermas:Spir:Reinhold:Schlegel:
David Kaplan (philosopher), (born 1933),Bertrand Russell:Saul Kripke:Rudolf Carnap:Gottlob Frege:Richard Montague:Alonzo Church:,C. Anthony Anderson:John Perry (philosopher):Nathan Salmon:
Walter Kaufmann (philosopher), (1921–1980),Johann Wolfgang von Goethe:Georg Wilhelm Friedrich Hegel:Martin Buber:Sigmund Freud:Karl Jaspers:Friedrich Nietzsche:Søren Kierkegaard:,Richard Schacht:Alexander Nehamas:Ivan Soll:Frithjof Bergmann:
Karl Kautsky, (1854–1938),Bruno Bauer:Charles Darwin:Joseph Dietzgen:Karl Marx:G.W.F. Hegel:J.S. Mill:Friedrich Engels:Immanuel Kant:,Leon Trotsky:Joseph Stalin:V.I. Lenin:Willy Brandt:Bruno Kreisky:Otto Bauer:Konrad Lorenz:Max Adler:Rudolf Hilferding:Karl Renner:
Hans Kelsen, (1881–1973),Hume:Hermann Cohen:Vaihinger:Kant:,Merkl:Dreier:Hart:Bobbio:de:Kunz:
Anthony Kenny, (born 1931),Ludwig Wittgenstein:Thomas Aquinas:Peter Geach:Herbert McCabe:,
Søren Kierkegaard, (1813–1855),Olsen:Goethe:Mozart:Schelling:Shakespeare:Møller:Socrates:Hegel:Kant:Heiberg:Luther:Descartes:Plato:Hamann:Wolff:Lessing:Diogenes:Abraham:,Heidegger:Ellul:Jaspers:Wittgenstein:Freud:Camus:Percy:Levinas:H. R. Niebuhr:Unamuno:Wahl:Adorno:Merton:Kaufmann:Tillich:Caputo:Ibsen:Shestov:Schmitt:Buber:West:Marcel:Sartre:May:Barth:Bergman:
Jaegwon Kim, (1934–2019),Roderick Chisholm:Carl Hempel:,Dean Zimmerman:
Al-Kindi, (801–873),Hellenistic philosophy:Al-Khalil:Neoplatonism:,Alhazen:Ahmad ibn al-Tayyib al-Sarakhsi:Abu Zayd al-Balkhi:Miskawayh:Isaac Israeli ben Solomon:Abu Ma'shar al-Balkhi:Robert Grosseteste:Roger Bacon:
Ludwig Klages, (1872–1956),Bahnsen:Goethe:George:Bachofen:Huch:Schopenhauer:Carus:Nietzsche:Schuler:Ibsen:Busse:,Heidegger:Cortázar:Lukács:Adorno:Homburger:Ewald:Lacan:Cioran:Schuler:Horkheimer:de:Schultz:Lange:Hoffmann:Löwith:Voigtländer:Schneider:Agamben:Bataille:Kahn:Kronfeld:Hesse:Cassirer:Habermas:Derrida:Benjamin:de Man:Kubin:Foucault:Guattari:Mann:
Martin Knutzen, (1713–1751),Christian Wolff:John Locke:Franz Albert Schultz:,Benno Erdmann:Ludwig Ernst von Borowski:Johann Georg Hamann:de:Immanuel Kant:
Kurt Koffka, (1886–1941),Carl Stumpf:,Lev Vygotsky:Kurt Lewin:Maurice Merleau-Ponty:
Wolfgang Köhler, (1887–1967),,Karl Popper:
Alexandre Kojève, (1902–1968),Strauss:Koyré:Schmitt:Heidegger:Hegel:Kant:Jaspers:Kandinsky:Plato:Aristotle:Marx:Soloviev:,Strauss:Aron:Rosen:Agamben:Louis Althusser:Derrida:Bataille:Bloom:Lacan:Maurice Merleau-Ponty:Queneau:Foucault:Breton:Sartre:Fukuyama:
Leszek Kołakowski, (1927–2009),G. W. F. Hegel:Friedrich Engels:Karl Marx:Baruch Spinoza:György Lukács:Immanuel Kant:,Solidarity:José Guilherme Merquior:Christopher Hitchens:Noam Chomsky:
Alejandro Korn, (1860–1936),Hegel:Kant:,Risieri Frondizi:Luis Aznar:Pedro Henríquez Ureña:Juan José Arévalo:Francisco Romero:Ángel Vasallo:
Karl Korsch, (1886–1961),Vladimir Lenin:Fabian Society:Georg Wilhelm Friedrich Hegel:Karl Marx:Mikhail Bakunin:Friedrich Engels:Immanuel Kant:,Felix Weil:Bertolt Brecht:Douglas Kellner:New Left:C.L.R. James:Frankfurt School:
Karel Kosík, (1926–2003),Martin Heidegger:Karl Marx:Georg Lukács:Edmund Husserl:,reception theory:
Tadeusz Kotarbiński, (1886–1981),Stanisław Leśniewski:Kazimierz Twardowski:,Henryk Greniewski:pl:Kazimierz Pasenkiewicz:
Alexandre Koyre, (1892–1964),E. A. Burtt:François Picavet:Edmund Husserl:André Lalande:Henri Bergson:Léon Brunschvicg:Victor Delbos:Gaston Bachelard:,Nader El-Bizri:Paul Feyerabend:Abdel Rahman Badawi:Alexandre Kojève:Thomas Kuhn:
Karl Christian Friedrich Krause, (1781–1832),G. W. F. Hegel:Friedrich W. Schelling:Plato:Baruch Spinoza:Johann Gottlieb Fichte:Immanuel Kant:,Arthur Schopenhauer:Julián Sanz del Rio:Francisco Giner de los Ríos:Hipólito Yrigoyen:
Saul Kripke, (born 1940),Marcus:Russell:Curry:Lewis:Quine:Turing:Wittgenstein:Dummett:Frege:Tarski:,Yablo:Boghossian:Weinstein:Devitt:Kaplan:Putnam:Salmon:Shoemaker:Soames:Burgess:Evans:Burge:Chalmers:Field:
Julia Kristeva, (born 1941),Roland Barthes:Hannah Arendt:Lucien Goldmann:Jacques Derrida:Mikhail Bakhtin:Jacques Lacan:Georges Bataille:,
Peter Kropotkin, (1842–1921),Bakunin:Guyau:Darwin:Proudhon:Freud:Reclus:Nietzsche:Marx:,Black:Malatesta:Bookchin:Goldman:Berkman:Kafka:Chomsky:Makhno:Wilde:Rocker:Woodcock:Žižek:Gould:Tolstoy:Kōtoku:Ward:Guérin:
Thomas Samuel Kuhn, (1922–1996),Ludwig Wittgenstein:Ludwik Fleck:Émile Meyerson:Norwood Russell Hanson:Michael Polanyi:Herbert Butterfield:John Hasbrouck Van Vleck:Karl Popper:Hélène Metzger:Anneliese Maier:Alexandre Koyré:Jean Piaget:Immanuel Kant:,Martin Cohen:Paul Feyerabend:Philip Kitcher:Imre Lakatos:
Antonio Labriola, (1843–1904),Herbart:Marx:Hegel:,Leon Trotsky:Benedetto Croce:Antonio Gramsci:Amadeo Bordiga:Georges Sorel:
Jacques Lacan, (1901–1981),Gaëtan Gatian de Clérambault:Jean Paul Sartre:Marquis de Sade:Claude Lévi-Strauss:Karl Marx:Roman Jakobson:Salvador Dalí:Sigmund Freud:G.W.F. Hegel:Aristotle:Alexandre Kojève:Georges Bataille:Immanuel Kant:,Mari Ruti:Frantz Fanon:Louis Althusser:Elisabeth Roudinesco:Alain Badiou:Luce Irigaray:Peter Rollins:Ljubljana school of psychoanalysis:Éric Laurent:Julia Kristeva:Slavoj Žižek:Lacanian movement:Jacques-Alain Miller:
Ernesto Laclau, (1935–2014),Gramsci:Althusser:Derrida:Saussure:Lacan:Foucault:Wittgenstein:Husserl:Hobsbawm:Rorty:Marx:Ramos:,Errejón:Critchley:Norval:Žižek:Butler:Marchart:Stavrakakis:
Philippe Lacoue-Labarthe, (1940–2007),Heidegger:Derrida:Hölderlin:Nancy:,
Imre Lakatos, (1922–1974),Popper:Hegel:Pólya:Szabó:Lukács:Feyerabend:Lenin:Kuhn:Marx:de:,Worrall:Milner:Sloman:Gillies:Murphy:Feyerabend:Corfield:Meehl:Chalmers:
Julien Offray de La Mettrie, (1709–1751),François-Joseph Hunauld:Herman Boerhaave:John Locke:,François Picavet:Michel Onfray:
Friedrich Albert Lange, (1828–1875),Immanuel Kant:Hermann von Helmholtz:,Hermann Cohen:Eduard Bernstein:Friedrich Nietzsche:
Susanne Langer, (1895–1985),Schopenhauer:Whitehead:Cassirer:,Neo-Concrete Movement:Clifford Geertz:Bernard Lonergan:Howard Gardner:
Lao Zi,) (4th century BC),,Martin Heidegger:Lie Yukou:Neotaoists:Zhuang Zhou:Alan Watts:Niels Bohr:Chinese Buddhism:Daoism:Zen:East Asian philosophies:Carl Jung:
Bruno Latour, (born 1947),Gilles Deleuze:Michel Serres:Alfred North Whitehead:Gabriel Tarde:Eric Voegelin:Algirdas Julien Greimas:,
