,name,birth,incoming_links,outgoing_links,page,latitude,longitude
74,Muhammad Iqbal,1877-1938,Jami:Syed Mir Hassan:Sayyid Ali Hujwiri:Thomas Walker Arnold:Abd al-Karīm al-Jīlī:Bismil Azimabadi:Henri Bergson:Mir Sayyid Ali Hamadani:Johann Wolfgang von Goethe:Vladimir Lenin:Friedrich Nietzsche:Rumi:,Muhammad Ali Jinnah:Abul A'la Maududi:Ale Ahmed Suroor:Syed Jawad Naqvi:Dewan Mohammad Azraf:Muhammad Ishaq Madni:Pakistan Movement:Faiz Ahmed Faiz:Fateh Muhammad Malik:Khushwant Singh:Israr Ahmed:Ali Shariati:Islamic Republic of Pakistan:Muhammad Asad:,/wiki/Muhammad_Iqbal,32.4925,74.53111
75,Abraham,BC 2150-1975,,Søren Kierkegaard:,/wiki/Abraham,FILL,FILL
76,Emil Cioran,1911-1995,François de La Rochefoucauld:Martin Heidegger:Philipp Mainländer:Georg Simmel:Nicolas Chamfort:Ludwig Klages:Constantin Noica:Oswald Spengler:Fyodor Dostoevsky:Joseph de Maistre:Arthur Schopenhauer:Emily Brontë:Immanuel Kant:Teresa of Ávila:Paul Valéry:Søren Kierkegaard:Lev Shestov:Nae Ionescu:Joseph Joubert:Blaise Pascal:Friedrich Nietzsche:,Thomas Ligotti:Fernando Savater:Nick Land:Jean Baudrillard:Eugene Thacker:,/wiki/Emil_Cioran,47.467,19.05
77,Nicolas Malebranche,1638-1715,René Descartes:St. Augustine:Thomas Aquinas:,Louis Gabriel Ambroise de Bonald:Montesquieu:George Berkeley:Louis Lavelle:Alain Badiou:Jacob Bernoulli:Giambattista Vico:Augusto Del Noce:Joseph de Maistre:David Hume:Leibniz:J.-J. Rousseau:John Henry Newman:,/wiki/Nicolas_Malebranche,48.856613,2.352222
78,Arcesilaus,BC 316-241,Plato:Crantor:Theophrastus:Pyrrho:Socrates:Crates of Athens:Timon of Phlius:Polemo:,Favorinus:Plutarch:Carneades:Lacydes:Clitomachus:Philo of Larissa:Cicero:,/wiki/Arcesilaus,38.92806,26.93722
79,Cooper,1789-1851,,Dimitri Pisarev:,/wiki/James_Fenimore_Cooper,FILL,FILL
80,Indian philosophy,,,Henry David Thoreau:,/wiki/Indian_philosophy,FILL,FILL
81,E. A. Burtt,1892-1989,,Alexandre Koyre:,/wiki/Edwin_Arthur_Burtt,42.61111,-71.575
82,Constantin Noica,1909-1987,,Emil Cioran:,/wiki/Constantin_Noica,FILL,FILL
83,Ibn al-Mughallis,836-936,,Ibn Hazm:,/wiki/Ibn_al-Mughallis,FILL,FILL
84,Nekrasov,1821-1878,,Nikolai Chernyshevsky:,/wiki/Nikolay_Nekrasov,FILL,FILL
85,German mysticism,,,Arthur Schopenhauer:,/wiki/Friends_of_God,FILL,FILL
86,Joseph Raz,1939-2039,Peter Hacker:Hans Kelsen:H. L. A. Hart:,Leslie Green:Timothy Endicott:Matthew Kramer:John Gardner:Scott J. Shapiro:,/wiki/Joseph_Raz,FILL,FILL
