,name,birth,incoming_links,outgoing_links,page,latitude,longitude
233,Frantz Fanon, (1925–1961),G.W.F. Hegel:Karl Marx:Sigmund Freud:Négritude:Aimé Césaire:Jacques Lacan:Jean-Paul Sartre:,Steve Biko:Lewis Gordon:Che Guevara:Afro-pessimism:Malcolm X:Edward Said:Hortense Spillers:Paulo Freire:Ali Shariati:Huey P. Newton:Ngugi wa Thiong'o:Bobby Seale:,/wiki/Frantz_Fanon,14.6,-61.06667
234,Montesquieu,,,Louis Althusser:,/wiki/Montesquieu,44.67917,-0.544361
235,Jacob Burckhardt, (1818–1897),Jules Michelet:,Friedrich Nietzsche:Johan Huizinga:,/wiki/Jacob_Burckhardt,47.55472,7.59056
236,Ralph Waldo Emerson, (1803–1882),Carlyle:de Gérando:Cousin:Montaigne:Swedenborg:de Staël:Hafez:Mary Moody Emerson:Coleridge:Descartes:,Nietzsche:Thoreau:Marx:James:Freud:Whitman:Muir:Harold Bloom:,/wiki/Ralph_Waldo_Emerson,42.35806,-71.06361
237,Harith al-Muhasibi,,,Al-Ghazali:,/wiki/Harith_al-Muhasibi,FILL,FILL
238,Richard Brandt,,,Allan Gibbard:,/wiki/Richard_Brandt,39.44583,-83.82917
239,Bankei Yōtaku,,,Alan Watts:,/wiki/Bankei_Y%C5%8Dtaku,FILL,FILL
240,Peter Singer, (born 1946),Henry Sidgwick:Charles Darwin:R. M. Hare:Jonathan Glover:Derek Parfit:Karl Marx:John Stuart Mill:Jeremy Bentham:,William MacAskill:Colin McGinn:Roger Crisp:Bill Gates:James Rachels:Gregory Pence:Peter Unger:Mylan Engel:Julian Savulescu:Toby Ord:Steven Pinker:Steven Best:Dale Jamieson:,/wiki/Peter_Singer,-37.81361,144.96306
241,Jorge Luis Borges,,,Jean Baudrillard:,/wiki/J,FILL,FILL
242,Louis Agassiz,,,William James:,/wiki/Louis_Agassiz,46.95,7.083
243,Joan Robinson,,,Cornelius Castoriadis:,/wiki/Joan_Robinson,51.25,-0.417
244,William Robertson,,,Thomas Jefferson:,/wiki/William_Robertson_(historian),55.825,-3.011
245,Charles Fourier, (1772–1837),Nicolas-Edme Rétif:,Paul Goodman:Pierre-Joseph Proudhon:Victor Prosper Considerant:Herbert Marcuse:Walter Benjamin:Domingo Faustino Sarmiento:Raoul Vaneigem:Karl Marx:Hakim Bey:Nikolay Chernyshevsky:Joseph Déjacque:Peter Kropotkin:David Harvey:André Breton:Bob Black:Émile Armand:Jean-Baptiste André Godin:,/wiki/Charles_Fourier,47.24,6.02
246,Jakob Friedrich Fries, (1773–1843),Karl Leonhard Reinhold:Immanuel Kant:,Karl Popper:Hermann Lotze:Leonard Nelson:Otto Fritz Meyerhof:,/wiki/Jakob_Friedrich_Fries,51.967,11.867
247,"Onora O'Neill, Baroness O'Neill of Bengarve", (born 1941),John Rawls:Immanuel Kant:Christine Korsgaard:,Christine Korsgaard:Katrin Flikschuh:,"/wiki/Onora_O%27Neill,_Baroness_O%27Neill_of_Bengarve",FILL,FILL
248,Friedrich Heinrich Jacobi, (1743–1819),Kant:David Hume:Hamann:Goethe:Spinoza:Mendelssohn:Adam Smith:Leibniz:Thomas Reid:Christian Wolff:,Kierkegaard:Hegel:Fichte:Cousin:Schelling:Ludwig Feuerbach:Leo Strauss:Mendelssohn:Heidegger:Fries:,/wiki/Friedrich_Heinrich_Jacobi,51.233,6.783
249,Gogol,,,Dimitri Pisarev:,/wiki/Nikolai_Gogol,FILL,FILL
250,Ancient Egyptian mathematics,,,Thales:,/wiki/Ancient_Egyptian_mathematics,FILL,FILL
251,Grene,,,Leo Strauss:,/wiki/David_Grene,FILL,FILL
252,Wilhelm Dilthey, (1833–1911),Friedrich Schleiermacher:Arthur Schopenhauer:Immanuel Kant:German Romanticism:Georg Wilhelm Friedrich Hegel:Johann Gustav Droysen:August Böckh:Johann Gottfried Herder:Friedrich Adolf Trendelenburg:,Jürgen Habermas:Max Weber:José Ortega y Gasset:Martin Heidegger:Franz Boas:Hans-Georg Gadamer:R. G. Collingwood:Georg Simmel:Rudolf Steiner:Karl Jaspers:,/wiki/Wilhelm_Dilthey,50.05,8.23333
253,Raymond of Sabunde,,,Pierre Charron:,/wiki/Raymond_of_Sabunde,FILL,FILL
254,Nasir al-Din al-Tusi, (1201–1274),Siraj Qumri:Fakhr al-Din Razi:Avicenna:Mo'ayyeduddin Urdi:,Qutb al-Din Shirazi:ibn Khaldun:Maitham Al Bahrani:Ibn al-Shatir:Copernicus:,/wiki/Nasir_al-Din_al-Tusi,FILL,FILL
