,name,birth,incoming_links,outgoing_links,page,latitude,longitude
139,Damon,,,Socrates:,/wiki/Damon_of_Athens,FILL,FILL
140,John Locke, (1632–1704),Grotius:Filmer:Bacon:Spinoza:Masham:Hobbes:Pufendorf:Descartes:,Berkeley:Jefferson:Voltaire:Hume:Kant:Rousseau:Shaftesbury:,/wiki/John_Locke,51.361,-2.763
141,Keble,,,John Henry Newman:,/wiki/John_Keble,51.708,-1.785
142,Livy,,,Niccolò Machiavelli:,/wiki/Livy,FILL,FILL
143,Emil Fackenheim, (1916–2003),Immanuel Kant:Martin Heidegger:Franz Rosenzweig:G. W. F. Hegel:F. W. J. Schelling:Leo Strauss:Baruch Spinoza:,James Doull:Douglas John Hall:,/wiki/Emil_Fackenheim,51.48278,11.96972
144,Pierre Bayle, (1647–1706),Descartes:Spinoza:,Gibbon:Berkeley:Maupertuis:Toland:Mandeville:Condorcet:Diderot:Voltaire:Vico:des Maizeaux:Hume:Frederick the Great:Jean-Jacques Rousseau:,/wiki/Pierre_Bayle,43.1514,1.3942
145,Hans Vaihinger, (1852–1933),Arthur Schopenhauer:Immanuel Kant:Friedrich Forberg:African Spir:Friedrich Nietzsche:,George Kelly:James Hillman:Alfred Adler:Hans Kelsen:,/wiki/Hans_Vaihinger,48.4312,9.069516
146,Porphyry (philosopher), (c. 232 – c. 304),Plotinus:Aristotle:Plato:Middle Platonism:,Isagoge:Neoplatonism:Sossianus Hierocles:Aristotelianism:Boethius:Scholasticism:,/wiki/Porphyry_(philosopher),33.27083,35.19611
147,Moltzer,,,Carl Jung:,/wiki/Maria_Moltzer,52.367,4.9
148,Kaspar von Schwenkfeld,,,Jakob Böhme:,/wiki/Caspar_Schwenckfeld,FILL,FILL
149,Jeremy Bentham, (1748–1832),Helvétius:Beccaria:Montesquieu:Adam Smith:Protagoras:John Locke:Hobbes:David Hume:Epicurus:,A. V. Dicey:Henry Sidgwick:Étienne Dumont:Michel Foucault:William Thompson:Francis Y. Edgeworth:John Stuart Mill:Robert Owen:Peter Singer:John Austin:H. L. A. Hart:Thomas Hodgskin:,/wiki/Jeremy_Bentham,51.50722,-0.1275
150,Thomas Young,,,Albert Einstein:,/wiki/Thomas_Young_(scientist),51.0221,-3.2489
151,Guttmann,,,Leo Strauss:,/wiki/Julius_Guttmann,FILL,FILL
152,Georg Lukács, (1885–1971),Immanuel Kant:Max Weber:Søren Kierkegaard:Wilhelm Dilthey:Friedrich Engels:Emil Lask:Georges Sorel:Karl Marx:Rosa Luxemburg:Georg Simmel:Vladimir Lenin:G. W. F. Hegel:,Costanzo Preve:Karl Polanyi:The Budapest School:Richard D. Wolff:Fredric Jameson:Imre Lakatos:Guy Debord:Leszek Kołakowski:Tom Rockmore:Sandra Harding:Lucien Goldmann:Karel Kosík:The Praxis School:Andrew Arato:Cornelius Castoriadis:Moishe Postone:The Frankfurt School:Walter Benjamin:Jean-Paul Sartre:,/wiki/Georg_Luk%C3%A1cs,47.4925,19.05139
153,C. L. R. James,,,Cornelius Castoriadis:,/wiki/C._L._R._James,10.633,-61.383
154,Book of Rites,,,Confucius:,/wiki/Book_of_Rites,FILL,FILL
155,Thomas Aquinas, (1225–1274),St. Paul:Aristotle:Anselm of Canterbury:Plato:Pseudo-Dionysius:Albertus Magnus:Averroes:Socrates:Cicero:Boethius:Al-Ghazali:Avicenna:Maimonides:Augustine of Hippo:,Western philosophy:Catholic theology:Protestant theology:,/wiki/Thomas_Aquinas,FILL,FILL
