,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
412,Augustin Thierry,,,Antonio Rosmini-Serbati:,/wiki/Augustin_Thierry,53.8872,25.3028,AD 1795-05-10 00:00:00
413,Valentine Weigel,,,Jakob Böhme:,/wiki/Valentin_Weigel,FILL,FILL,FILL
414,Wilhelm von Humboldt, (1767–1835),Immanuel Kant:J. G. Fichte:Christian Jakob Kraus:Johann Gottfried Herder:,Alexander Potebnja:Joxe Azurmendi:Ernst Cassirer:John Stuart Mill:Valentin Voloshinov:Noam Chomsky:August Schleicher:,/wiki/Wilhelm_von_Humboldt,52.4,13.067,AD 1767-06-22 00:00:00
415,Pavel Florensky,,,Aleksei Losev:,/wiki/Pavel_Florensky,FILL,FILL,FILL
416,Iris Murdoch, (1919–1999),Plato:Stuart Hampshire:Simone Weil:Jean-Paul Sartre:Philippa Foot:,Elizabeth Anscombe:Martha Nussbaum:Philippa Foot:,/wiki/Iris_Murdoch,53.34972,-6.26028,AD 1919-07-15 00:00:00
417,Alain Badiou, (born 1937) ,G. W. F. Hegel:Georges Canguilhem:Jean Hyppolite:Mao Zedong:Vladimir Lenin:Sylvain Lazarus:Plato:Stéphane Mallarmé:Karl Marx:Fernando Pessoa:Samuel Beckett:Jacques Lacan:Paul Cohen:Jean-François Lyotard:Gilles Deleuze:Louis Althusser:Friedrich Nietzsche:Jean-Paul Sartre:Georg Cantor:,Ray Brassier:Peter Hallward:Quentin Meillassoux:Mehdi Belhaj Kacem:Jason Barker:Justin Clemens:Nina Power:François Laruelle:Simon Critchley:Alberto Toscano:Tristan Garcia:Oliver Feltham:Sylvain Lazarus:Slavoj Žižek:,/wiki/Alain_Badiou,34.033,-6.833,AD 1937-01-17 00:00:00
418,Jacques Camatte,,,Antonio Negri:,/wiki/Jacques_Camatte,43.3478,5.4639,AD 1935-01-01 00:00:00
419,Lucan,,,Augustine of Hippo:,/wiki/Lucan,37.88450722,-4.7795675,FILL
420,Greene,,,Lysander Spooner:,/wiki/William_Batchelder_Greene,42.783,-71.083,AD 1819-04-04 00:00:00
421,Cyril of Alexandria,,,John of Damascus:,/wiki/Cyril_of_Alexandria,30.96861,31.16361,AD 0376-11-01 00:00:00
422,L. Susan Stebbing,,,Max Black:,/wiki/Susan_Stebbing,51.617,-0.174,AD 1885-12-02 00:00:00
423,Sophocles,,,Friedrich Nietzsche:,/wiki/Sophocles,37.99907,23.721885,BC 0497-01-01 00:00:00
424,Panofsky,,,Pierre Bourdieu:,/wiki/Erwin_Panofsky,52.367,9.717,AD 1892-03-30 00:00:00
425,Al-Ghazali, (1058–1111),Harith al-Muhasibi:Al-Juwayni:,Fakhruddin Razi:Al-Nawawi:Abu Bakr ibn al-Arabi:Sayf al-Din al-Amidi:Asad Mayhani:Ali al-Qari:Ayn al-Quzat Hamadani:René Descartes:Ibn Tumart:Tan Malaka:Muhammad Ibn Yahya al-Janzi:David Hume:Shah Waliullah Dehlawi:Suyuti:Maimonides:Thomas Aquinas:,/wiki/Al-Ghazali,36.454167,59.566944,AD 1058-11-01 00:00:00
426,Leibowitz,,,Leo Strauss:,/wiki/Nechama_Leibowitz,56.94889,24.10639,AD 1905-09-03 00:00:00
427,Céline,,,Jean-Paul Sartre:,/wiki/Louis-Ferdinand_C%C3%A9line,48.8978,2.2531,AD 1894-05-27 00:00:00
428,Serge Latouche,,,Cornelius Castoriadis:,/wiki/Serge_Latouche,47.6559,-2.7603,AD 1940-01-12 00:00:00
