name,birth,incoming_links,outgoing_links,page,latitude,longitude
Shoshana Zuboff,,,B. F. Skinner:,/wiki/Shoshana_Zuboff,FILL,FILL
Charles Bernard Renouvier, (1815–1903),Emanuel Swedenborg:Immanuel Kant:Jules Lequier:,Émile Durkheim:Octave Hamelin:William James:Léon Brunschvicg:Alfred Fouillée:,/wiki/Charles_Bernard_Renouvier,FILL,FILL
Stilpo, (c. 360 – c. 280 BC),Thrasymachus of Corinth:Diodorus Cronus:Pasicles of Thebes:Euclid of Megara:,Nicarete of Megara:Zeno of Citium:Crates of Thebes:Menedemus:Asclepiades:,/wiki/Stilpo,FILL,FILL
Demosthenes,,,John Stuart Mill:,/wiki/Demosthenes,FILL,FILL
Emily Brontë,,,Emil Cioran:,/wiki/Emily_Bront%C3%AB,FILL,FILL
Arthur Pap,,,Nuel Belnap:,/wiki/Arthur_Pap,FILL,FILL
Josiah Royce, (1865–1916),Friedrich Wilhelm Joseph Schelling:Hermann Lotze:William James:Alfred Bray Kempe:Charles Sanders Peirce:George Sylvester Morris:,Timothy Sprigge:William Ernest Hocking:C. I. Lewis:Gabriel Marcel:John Elof Boodin:J. W. Miller:Edward Vermilye Huntington:Norbert Wiener:Brand Blanshard:Morris Raphael Cohen:G. H. Mead:Henry M. Sheffer:,/wiki/Josiah_Royce,FILL,FILL
Barker,,,Leo Strauss:,/wiki/Ernest_Barker,FILL,FILL
Albertus Magnus,"), (1193?–1280)",Aristotle:Plato:Pseudo-Dionysius:Proclian:Al-Farabi:Averroes:Jordan of Saxony:Plotinus:Avicenna:Maimonides:Avicebron:,Nicholas of Cusa:Meister Eckhart:Scholasticism:Thomas Aquinas:,/wiki/Albertus_Magnus,FILL,FILL
surrealism,,,Ivan Sviták:,/wiki/Surrealism,FILL,FILL
Georg Wilhelm Friedrich Hegel, (1770–1831),Ferguson:Aristotle:Plato:Fichte:Schiller:Herder:Adam Smith:Heraclitus:Spinoza:Schelling:Luther:Diderot:Ibn Khaldun:Goethe:Böhme:Kant:Rousseau:,Pippin:Bakunin:Bluntschli:Rosenkranz:Proudhon:Bradley:Quito:Hyppolite:Brandom:Croce:Zubiri:Chicherin:Adorno:Bosanquet:Fischer:Cousin:McDowell:Marcuse:Taylor:Badiou:Lukács:Kojève:Fukuyama:Bauer:Collingwood:Engels:Green:Butler:Lenin:Barth:Feuerbach:Russon:Gentile:Derrida:Bulgakov:Sartre:Dunayevskaya:Küng:Leo Strauss:Malaka:Stirner:Žižek:Kaufmann:Kierkegaard:Chalybäus:Nietzsche:David Strauss:Marx:Rose:Stein:Bueno:Singer:de Beauvoir:,/wiki/Georg_Wilhelm_Friedrich_Hegel,FILL,FILL
Nelson Goodman, (1906–1998),Rudolf Carnap:Immanuel Kant:Carl G. Hempel:C. I. Lewis:David Hume:W. V. O. Quine:,Donald Davidson:Sidney Morgenbesser:Stanley Cavell:Israel Scheffler:Jerry Fodor:Arthur Danto:Kendall Walton:Catherine Elgin:Hilary Putnam:Noam Chomsky:Stephen Stich:W. V. O. Quine:,/wiki/Nelson_Goodman,FILL,FILL
Rhazes,,,Avicenna:,/wiki/Muhammad_ibn_Zakariya_al-Razi,FILL,FILL
