name,birth,incoming_links,outgoing_links,page,latitude,longitude,births,id
Herbert Feigl, (1902–1988),Hans Hahn:Hans Thirring:Karl Bühler:Moritz Schlick:,Donald Davidson:,/wiki/Herbert_Feigl,50.767,15.067,AD 1902-12-14 00:00:00,440
Samuel Beckett,,,Alain Badiou:,/wiki/Samuel_Beckett,53.2667,-6.1742,AD 1906-04-13 00:00:00,441
Henry of Harclay, (1270–1317),John Duns Scotus:,William of Ockham:,/wiki/Henry_of_Harclay,54.891,-2.944,AD 1270-11-01 00:00:00,442
Dubnow,,,Leo Strauss:,/wiki/Simon_Dubnow,54.017,31.717,AD 1860-09-10 00:00:00,443
Hendrik Lorentz,,,Albert Einstein:,/wiki/Hendrik_Lorentz,51.983,5.917,AD 1853-07-18 00:00:00,444
Wilfrid Sellars, (1912–1989),Rudolf Carnap:Immanuel Kant:Clarence Irving Lewis:Edmund Husserl:Martin Heidegger:Roy Wood Sellars:Gilbert Ryle:,Jay Rosenberg:Paul Churchland:Ray Brassier:Robert Brandom:Ruth Millikan:Annette Baier:Daniel Dennett:Bas van Fraassen:John McDowell:Richard Rorty:,/wiki/Wilfrid_Sellars,42.28139,-83.74833,AD 1912-05-20 00:00:00,445
Melanie Klein,,,Cornelius Castoriadis:,/wiki/Melanie_Klein,48.2,16.367,AD 1882-03-30 00:00:00,446
Meade,,,John Rawls:,/wiki/James_Meade,50.608,-1.96,AD 1907-06-23 00:00:00,447
Ralph Cudworth, (1617–1688),Plato:,Masham:Shaftesbury:,/wiki/Ralph_Cudworth,51.05,-2.85,AD 1617-01-01 00:00:00,448
Plutarch,,,Proclus:,/wiki/Plutarch_of_Athens,37.6381,21.6306,AD 0350-01-01 00:00:00,449
Sigmund Freud, (1856–1939),,List of psychoanalysts:List of psychoanalytical theorists:,/wiki/Sigmund_Freud,49.63861,18.14389,AD 1856-05-06 00:00:00,450
Henry Harclay,,,William of Ockham:,/wiki/Henry_Harclay,54.891,-2.944,AD 1270-11-01 00:00:00,451
Jesus of Nazareth,,,Thomas Jefferson:,/wiki/Jesus,31.783,35.217,FILL,452
Abarbanel,,,Leo Strauss:,/wiki/Isaac_Abarbanel,38.7252668,-9.1500193,AD 1437-11-01 00:00:00,453
Niccolò Machiavelli, (1469–1527),Plutarch:Tacitus:Sallust:Petrarch:Marsilio Ficino:Gemistos Plethon:Xenophon:Ibn Khaldun:Dante Alighieri:Polybius:Livy:Thucydides:,Vincenzo Cuoco:Giulio Andreotti:Carl Schmitt:Hobbes:Spinoza:Rousseau:Marquis de Sade:Strauss:Gramsci:Hannah Arendt:David Hume:T. Schelling:Pareto:Bacon:Althusser:John Adams:Weber:Vico:Philip Pettit:Nietzsche:Hegel:Sismondi:Political realism:Waltz:Negri:Denis Diderot:Harrington:Edward Gibbon:,/wiki/Niccol%C3%B2_Machiavelli,43.77139,11.25417,AD 1469-05-03 00:00:00,454
Pierre Janet,,,William James:,/wiki/Pierre_Janet,48.856613,2.352222,AD 1859-05-30 00:00:00,455
Benveniste,,,Paul Ricœur:,/wiki/%C3%89mile_Benveniste,36.217,37.167,AD 1902-05-27 00:00:00,456
John Fisher,,,Edmund Burke:,/wiki/John_Fisher,53.845,-0.427,AD 1469-10-19 00:00:00,457
Samuel Hartlib,,,Robert Boyle:,/wiki/Samuel_Hartlib,FILL,FILL,FILL,458
Theognis of Megara,,,Friedrich Nietzsche:,/wiki/Theognis_of_Megara,FILL,FILL,FILL,459
Paul Broca,,,John Fiske (philosopher):,/wiki/Paul_Broca,44.84,0.22,AD 1824-06-28 00:00:00,460
Jacques Lacan, (1901–1981),G.W.F. Hegel:Alexandre Kojève:Immanuel Kant:Aristotle:Karl Marx:Gaëtan Gatian de Clérambault:Jean Paul Sartre:Sigmund Freud:Salvador Dalí:Roman Jakobson:Georges Bataille:Claude Lévi-Strauss:Marquis de Sade:,Lacanian movement:Frantz Fanon:Éric Laurent:Jacques-Alain Miller:Alain Badiou:Elisabeth Roudinesco:Ljubljana school of psychoanalysis:Mari Ruti:Luce Irigaray:Peter Rollins:Louis Althusser:Julia Kristeva:Slavoj Žižek:,/wiki/Jacques_Lacan,48.856613,2.352222,AD 1901-04-13 00:00:00,461
Ernst Bloch (philosopher), (1885–1977),Paracelsus:Jacob Boehme:Karl Marx:Thomas Müntzer:Heinrich Rickert:G. W. F. Hegel:,Walter Benjamin:Theodor W. Adorno:Emmanuel Levinas:Jürgen Moltmann:Ernesto Balducci:Fredric Jameson:,/wiki/Ernst_Bloch_(philosopher),49.48111,8.43528,AD 1885-07-08 00:00:00,462
Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Śambhunātha:Bhūtirāja:,/wiki/Abhinavagupta,34.5,76.5,AD 0950-11-01 00:00:00,463
Hobsbawm,,,Ernesto Laclau:,/wiki/Eric_Hobsbawm,31.2,29.917,AD 1917-06-09 00:00:00,464
James Mill, (1773–1836),Jeremy Bentham:Dugald Stewart:David Hartley:,John Stuart Mill:,/wiki/James_Mill,56.667,-2.917,AD 1773-04-06 00:00:00,465
Seneca the Younger, (c. 4 BC–AD 65),Attalus:Zeno of Citium:Plato:Cleanthes:Chrysippus:Sotion:Epicurus:Publilius Syrus:,Cardinal Giovanni Colonna:Medieval philosophy:Tertullian:Michel de Montaigne:Marcus Aurelius:Albertino Mussato:Dante Alighieri:Martin of Braga:Baruch Spinoza:Augustine of Hippo:,/wiki/Seneca_the_Younger,37.88450722,-4.7795675,FILL,466
Slavoj Žižek, (born 1949),Job:Chesterton:Spinoza:Schmitt:Adorno:Strauss:Schelling:Balibar:Badiou:Kant:Engels:Lacan:Lenin:Debenjak:Althusser:Dolar:Freud:Zupančič:Foucault:Hegel:Marx:Rancière:Benjamin:Laclau:Jameson:,Brooks:Dean:Rousselle:Santner:Tsipras:Horvat:Varoufakis:Fisher:Dolar:Zupančič:,/wiki/Slavoj_%C5%BDi%C5%BEek,46.05556,14.50833,AD 1949-03-21 00:00:00,467
Salvador Dalí,,,Jacques Lacan:,/wiki/Salvador_Dal%C3%AD,42.26667,2.965,AD 1904-05-11 00:00:00,468
Roman Jakobson,,,Jacques Lacan:,/wiki/Roman_Jakobson,55.75583,37.61722,AD 1896-10-11 00:00:00,469
Claessens,,,Peter Sloterdijk:,/wiki/Dieter_Claessens,FILL,FILL,FILL,470
Orphism,,,Plato:,/wiki/Orphism_(religion),FILL,FILL,FILL,471
Adam Ferguson, (1723–1816),Montesquieu:,Karl Marx:Dugald Stewart:,/wiki/Adam_Ferguson,56.647558,-3.679711,AD 1723-07-01 00:00:00,472
Ludwig Klages, (1872–1956),Busse:Nietzsche:Schopenhauer:Ibsen:Carus:Bachofen:Huch:Schuler:Goethe:George:Bahnsen:,Kahn:Hoffmann:Hesse:Schuler:Cassirer:Ewald:Cioran:Adorno:Cortázar:de:Löwith:Horkheimer:Lukács:Homburger:Guattari:Bataille:Lacan:Schultz:Kubin:Derrida:Agamben:Kronfeld:Foucault:Schneider:de Man:Lange:Habermas:Benjamin:Mann:Voigtländer:Heidegger:,/wiki/Ludwig_Klages,52.367,9.717,AD 1872-12-10 00:00:00,473
St. Maximus the Confessor,,,Johannes Scotus Eriugena:,/wiki/Maximus_the_Confessor,32.8449,35.7926,AD 0580-11-01 00:00:00,474
Karel Kosík, (1926–2003),Martin Heidegger:Karl Marx:Edmund Husserl:Georg Lukács:,reception theory:,/wiki/Karel_Kos%C3%ADk,50.083,14.417,AD 1926-06-26 00:00:00,475
Roger Sessions,,,Stanley Cavell:,/wiki/Roger_Sessions,FILL,FILL,FILL,476
Ludwig Andreas Feuerbach, (1804–1872),Hegel:Jacobi:Daub:Luther:Spinoza:Böhme:Schleiermacher:,Nietzsche:Buber:Marx:Darwin:Wagner:Freud:Malaka:Bauer:Engels:Stirner:,/wiki/Ludwig_Andreas_Feuerbach,48.53972,12.15083,AD 1804-07-28 00:00:00,477
Warren,,,Lysander Spooner:,/wiki/Josiah_Warren,42.35806,-71.06361,AD 1798-06-26 00:00:00,478
Francis Place,,,John Stuart Mill:,/wiki/Francis_Place,FILL,FILL,FILL,479
Luce Irigaray, (born 1930),Jacques Derrida:Martin Heidegger:Sigmund Freud:Emmanuel Levinas:Jacques Lacan:Maurice Merleau-Ponty:,Catherine Malabou:Elizabeth Grosz:Judith Butler:,/wiki/Luce_Irigaray,50.5,3.65,AD 1930-05-03 00:00:00,480
Theaetetus,,,Plato:,/wiki/Theaetetus_(mathematician),FILL,FILL,FILL,481
