name,birth,incoming_links,outgoing_links,page,latitude,longitude,births,id
Carl Schmitt, (1888–1985),Edmund Burke:Immanuel Kant:Max Weber:Plato:Søren Kierkegaard:Thomas Hobbes:Georg Wilhelm Friedrich Hegel:Juan Donoso Cortés:Leo Strauss:Joseph de Maistre:René Guénon:Niccolò Machiavelli:Jean-Jacques Rousseau:,Jacob Taubes:Mario Tronti:Slavoj Žižek:Jacques Derrida:Mark Lilla:Hannah Arendt:Copenhagen School:Reinhart Koselleck:Jürgen Habermas:Giorgio Agamben:Hans Morgenthau:Alain de Benoist:Leo Strauss:Chantal Mouffe:Ernst Jünger:Jiang Shigong:Jaime Guzmán:Walter Benjamin:Antonio Negri:,/wiki/Carl_Schmitt,51.217,7.883,AD 1888-07-11 00:00:00,615
Sabina Spielrein,,,Jean Piaget:,/wiki/Sabina_Spielrein,47.233,39.7,AD 1885-11-07 00:00:00,616
Claude Adrien Helvétius, (1715–1771),Condillac:Locke:,Nietzsche:Beccaria:Marx:Darwin:Bentham:Freud:Plekhanov:,/wiki/Claude_Adrien_Helv%C3%A9tius,48.856613,2.352222,AD 1715-01-26 00:00:00,617
Rhees,,,Dewi Zephaniah Phillips:,/wiki/Rush_Rhees,43.16556,-77.61139,AD 1905-03-19 00:00:00,618
Curt Ducasse, (1881–1969),Josiah Royce:William James:,Roderick Chisholm:Wilfrid Sellars:,/wiki/Curt_Ducasse,45.65,0.16,AD 1881-07-07 00:00:00,619
Adurbad-e Mahrspandan,,,Ibn Miskawayh:,/wiki/Adurbad-i_Mahraspand,25.30541,60.64108,FILL,620
Rudolf Christoph Eucken, (1846–1926),Aristotle:Teichmüller:Aquinas:Lotze:Trendelenburg:,Max Scheler:Evelyn Underhill:W. R. Boyce Gibson:Abel J. Jones:,/wiki/Rudolf_Christoph_Eucken,53.47139,7.48361,AD 1846-01-05 00:00:00,621
Peter of Spain,,,Jean Buridan:,/wiki/Peter_of_Spain,FILL,FILL,FILL,622
Platonism,,,Philo:,/wiki/Platonism,FILL,FILL,FILL,623
José Ortega y Gasset, (1883–1955),Arthur Schopenhauer:Immanuel Kant:Edmund Husserl:Wilhelm Dilthey:Max Scheler:Paul Natorp:John Stuart Mill:Henri Bergson:Alexis de Tocqueville:Miguel de Unamuno:Hermann Cohen:Wilhelm von Humboldt:C. S. Peirce:Friedrich Nietzsche:José Ingenieros:,Graham Harman:José Antonio Primo de Rivera:José Gaos:Gregory Areshian:Xavier Zubiri:Generation of '27:María Zambrano:Alain de Benoist:Olavo de Carvalho:Mario Vargas Llosa:Julián Marías:Albert Jay Nock:Davud Monshizadeh:Antonio Machado:,/wiki/Jos%C3%A9_Ortega_y_Gasset,40.417,-3.717,AD 1883-05-09 00:00:00,624
Katherine Boyle Jones,,,Robert Boyle:,"/wiki/Katherine_Jones,_Viscountess_Ranelagh",35.7133,139.7622,AD 1615-03-22 00:00:00,625
Timon,,,Aenesidemus:,/wiki/Timon_of_Phlius,37.846299,22.649131,AD 0320-11-01 00:00:00,626
Halevi,,,Leo Strauss:,/wiki/Judah_Halevi,39.85667,-4.02444,AD 1075-11-01 00:00:00,627
David Gauthier, (born 1932),John Locke:Thomas Hobbes:,Geoffrey Sayre-McCord:Jan Narveson:Peter Vallentyne:,/wiki/David_Gauthier,43.74167,-79.37333,AD 1932-09-10 00:00:00,628
Heinrich Schlier,,,Rudolf Bultmann:,/wiki/Heinrich_Schlier,FILL,FILL,FILL,629
Dawud al-Zahiri,,,Ibn Hazm:,/wiki/Dawud_al-Zahiri,32.03,44.4,AD 0815-11-01 00:00:00,630
Vienna Circle,,,Alfred Ayer:,/wiki/Vienna_Circle,FILL,FILL,FILL,631
Emmanuel Mounier, (1905–1950),Plato:Jacques Chevalier:Henri Bergson:Charles Péguy:Marc Sangnier:Jacques Maritain:,Abbé Pierre:Pierre Trudeau:Ngo Dinh Nhu:Paul Ricœur:,/wiki/Emmanuel_Mounier,45.171546,5.722387,AD 1905-04-01 00:00:00,632
Johannes Scottus Eriugena,,,Meister Eckhart:,/wiki/John_Scotus_Eriugena,,,AD 0800-11-01 00:00:00,633
Gilbert Ryle, (1900–1976),René Descartes:Edmund Husserl:Ludwig Wittgenstein:Herbert James Paton:,G. A. Cohen:P. F. Strawson:Ullin Place:Michael Dummett:John Searle:Wilfrid Sellars:Daniel Dennett:A. J. Ayer:Þorsteinn Gylfason:J. J. C. Smart:J. L. Austin:Clifford Geertz:R. M. Hare:Richard Webster:,/wiki/Gilbert_Ryle,50.82838,-0.13947,AD 1900-08-19 00:00:00,634
Voltaire, (1694–1778),Jacques-Bénigne Bossuet:Emilie de Chatelet:Lucretius:Isaac Newton:Alexander Pope:Pierre Bayle:Francis Bacon:Pierre Corneille:William Shakespeare:Gottfried Wilhelm Leibniz:Virgil:John Locke:Ibn Tufail:Confucius:Jean Racine:Cicero:Plato:Lucian:Jean Meslier:Epicurus:Homer:Moliere:Miguel de Cervantes:,Emilie de Chatelet:Lord Byron:Christopher Hitchens:Kermani:Jean-Jacques Rousseau:Percy Bysshe Shelley:Vissarion Belinsky:Catherine the Great:Jorge Luis Borges:Napoleon:Mary Wollstonecraft:Karl Marx:Jeremy Bentham:Thomas Paine:David Strauss:William Godwin:Victor Hugo:Gustave Flaubert:Alexander Herzen:Denis Diderot:Johann Wolfgang von Goethe:Frederick the Great:Friedrich Nietzsche:,/wiki/Voltaire,46.8272,-0.1364,AD 1694-11-21 00:00:00,635
Othmar Spann, (1878–1950),Adam Müller:,Oskar Morgenstern:Eric Voegelin:Gottfried Haberler:Herman Dooyeweerd:Friedrich Hayek:,/wiki/Othmar_Spann,48.2,16.367,AD 1878-10-01 00:00:00,636
Charles Taylor (philosopher), (born 1931),Daniel Bell:Émile Durkheim:Johann Georg Hamann:Martin Heidegger:Hans-Georg Gadamer:William James:Dame Iris Murdoch:G. W. F. Hegel:Gilles Lipovetsky:Maurice Merleau-Ponty:George Herbert Mead:Aristotle:Max Weber:Wilfred Cantwell Smith:Alexander von Humboldt:Hubert Dreyfus:Plato:Paul Ricœur:Karl Marx:Alexis de Tocqueville:Michael Polanyi:John McDowell:Sir Isaiah Berlin:Ludwig Wittgenstein:Johann Gottfried Herder:Christopher Lasch:,Axel Honneth:Michael J. Sandel:Nikolas Kompridis:Craig Calhoun:Jack Layton:Alain Touraine:Mark Stuart Edwards:David Lyon:Joseph Augustine Di Noia:Charles Lindholm:Sean Dorrance Kelly:Robert N. Bellah:Hans Joas:Daniel A. Bell:Ken Wilber:Guy Laforest:Christian Smith:Kwame Anthony Appiah:Mary Poovey:Michael Walzer:James K. A. Smith:Bhikhu Parekh:James Tully:,/wiki/Charles_Taylor_(philosopher),45.50889,-73.55417,AD 1931-11-05 00:00:00,637
Murray Rothbard,,,Robert Nozick:,/wiki/Murray_Rothbard,40.83722,-73.88611,AD 1926-03-02 00:00:00,638
Albert Einstein, (1879–1955),Arthur Schopenhauer:Thomas Young:Hendrik Lorentz:Bernhard Riemann:Gottfried Wilhelm Leibniz:Isaac Newton:Ernst Mach:Hermann Minkowski:James Clerk Maxwell:Moritz Schlick:David Hume:Baruch Spinoza:Michele Besso:,modern physicists:,/wiki/Albert_Einstein,48.4,9.983,AD 1879-03-14 00:00:00,639
Blavatsky,,,Vladimir Solovyov (philosopher):,/wiki/Helena_Blavatsky,48.45,35.033,FILL,640
Ernst Schröder,,,Ernst Mally:,/wiki/Ernst_Schr%C3%B6der_(mathematician),49.48778,8.46611,AD 1841-11-25 00:00:00,641
Thomas Cajetan, (1469–1534),Aristotle:Saint Jerome:Averroes:Pico della Mirandola:St. Thomas Aquinas:Saint Augustine:Duns Scotus:,Étienne Gilson:Ralph McInerny:Henri de Lubac:,/wiki/Thomas_Cajetan,41.217,13.567,AD 1469-02-20 00:00:00,642
Apollonius,,,Marcus Aurelius:,/wiki/Apollonius_of_Chalcedon,FILL,FILL,FILL,643
Samuel Alexander, (1859–1938),Immanuel Kant:Bertrand Russell:T. H. Green:F. H. Bradley:Baruch Spinoza:,Alfred North Whitehead:John Anderson:,/wiki/Samuel_Alexander,-33.865,151.20944,AD 1859-01-06 00:00:00,644
William Gilbert,,,Francis Bacon:,/wiki/William_Gilbert_(physician),51.8917,0.903,AD 1544-05-24 00:00:00,645
Al-Farabi, (870–950),Aristotle:Plato:Ptolemy:Al-Kindi:Porphyry:,Al Amiri:Shahab al-Din Suhrawardi:Albertus Magnus:Mulla Sadra:Abu Sulayman Sijistani:Yahya ibn Adi:Averroes:Abū Hayyān al-Tawhīdī:Ibn Bajjah:Leo Strauss:Avicenna:Maimonides:,/wiki/Al-Farabi,36.25,64.833,AD 0872-11-01 00:00:00,646
Lukács,,,Theodor Adorno:,/wiki/Gy%C3%B6rgy_Luk%C3%A1cs,47.4925,19.05139,AD 1885-04-13 00:00:00,647
Chou Tun-Yi,) (1017–1073),Mencius:Confucius:,Zhu Xi:Cheng Yi:Cheng Hao:,/wiki/Chou_Tun-Yi,,,AD 1017-01-01 00:00:00,648
Christmas Humphreys,,,Alan Watts:,/wiki/Christmas_Humphreys,51.5175,-0.2988,AD 1901-02-15 00:00:00,649
Sextus Empiricus, (2nd/3rd century),Agrippa:Aenesidemus:Pyrrho:Herodotus of Tarsus:Timon of Phlius:,Hegel:Edmund Husserl:Nassim Taleb:Michel de Montaigne:Friedrich Nietzsche:David Hume:Descartes:,/wiki/Sextus_Empiricus,31.9485,34.889,AD 0160-11-01 00:00:00,650
al-Masihi,,,Avicenna:,/wiki/Abu_Sahl_%27Isa_ibn_Yahya_al-Masihi,FILL,FILL,FILL,651
Domingo Faustino Sarmiento,,,Mario Bunge:,/wiki/Domingo_Faustino_Sarmiento,-31.53417,-68.52611,AD 1811-02-15 00:00:00,652
Nicolas Chamfort,,,Emil Cioran:,/wiki/Nicolas_Chamfort,45.7831,3.0824,AD 1741-04-06 00:00:00,653
Andre Breton,,,Guy Debord:,/wiki/Andr%C3%A9_Breton,48.7636,-0.7331,AD 1896-02-19 00:00:00,654
Herman Boerhaave,,,Julien Offray de La Mettrie:,/wiki/Herman_Boerhaave,52.22306,4.48639,AD 1668-12-31 00:00:00,655
Herbert Marcuse, (1898–1979),Friedrich Pollock:Immanuel Kant:Edmund Husserl:Friedrich Engels:Martin Heidegger:Karl Marx:Sigmund Freud:Theodor W. Adorno:G. W. F. Hegel:Max Horkheimer:Friedrich Nietzsche:,Jürgen Habermas:Xi Jinping:Douglas Kellner:Emerita Quito:Andrew Feenberg:Bob Black:Angela Davis:George Katsiaficas:Norman O. Brown:Abbie Hoffman:,/wiki/Herbert_Marcuse,52.52,13.405,AD 1898-07-19 00:00:00,656
Benjamin Tucker, (1854–1939),Spencer:Bakunin:Jefferson:Proudhon:Warren:Spooner:Molinari:Ricardo:Smith:Stirner:,Wilson:Meulen:Armand:Mackay:Mella:Rocker:Rothbard:Carson:Cleyre:Chernyi:,/wiki/Benjamin_Tucker,41.61444,-70.96972,AD 1854-04-17 00:00:00,657
Semyon Frank,,,Nikolai Berdyaev:,/wiki/Semyon_Frank,55.75583,37.61722,AD 1877-01-28 00:00:00,658
Stendhal,,,Friedrich Nietzsche:,/wiki/Stendhal,45.171546,5.722387,AD 1783-01-23 00:00:00,659
Morris Raphael Cohen, (1880–1947),Josiah Royce:William James:Hugo Münsterberg:,Sidney Hook:Ernest Nagel:,/wiki/Morris_Raphael_Cohen,53.9,27.567,AD 1880-07-25 00:00:00,660
Thomas of Erfurt,,,Martin Heidegger:,/wiki/Modistae#History,FILL,FILL,FILL,661
Kalidasa,,,Johann Gottfried Herder:,/wiki/Kalidasa,FILL,FILL,FILL,662
John of Damascus, (c. 676–749),Basil of Caesarea:Aristotle:Plato:Gregory of Nazianzus:Latin Christianity:Leo the Great:Neoplatonism:John Chrysostum:Cyril of Alexandria:Paul the Apostle:Athanasius of Alexandria:Gregory of Nyssa:,Hesychasm:Eastern:Western:Christian philosophy:Second Council of Nicaea:Scholasticism:,/wiki/John_of_Damascus,33.51306,36.29194,AD 0675-11-01 00:00:00,663
Simone de Beauvoir, (1908–1986),Kierkegaard:Hegel:Nietzsche:Bergson:Marx:Wollstonecraft:Darwin:Husserl:Sade:Sartre:Leibniz:Freud:Kant:Descartes:Heidegger:,Butler:Kim:Rich:Quito:Sartre:Hoagland:Paglia:Greer:Camus:Friedan:,/wiki/Simone_de_Beauvoir,48.856613,2.352222,AD 1908-01-09 00:00:00,664
Northrop Frye,,,Stanley Cavell:,/wiki/Northrop_Frye,45.4,-71.9,AD 1912-07-14 00:00:00,665
Peter Geach, (1919–2013),Aristotle:Gotlob Frege:Ludwig Wittgenstein:J. M. E. McTaggart:Thomas Aquinas:,Alasdair MacIntyre:C. J. F. Williams:G. E. M. Anscombe:Michael Dummett:Brian Davies:Anthony Kenny:,/wiki/Peter_Geach,51.4874,-0.1682,AD 1916-03-29 00:00:00,666
Jacob L. Moreno,,,Martin Buber:,/wiki/Jacob_L._Moreno,44.4325,26.10389,AD 1889-05-18 00:00:00,667
R. B. Braithwaite,,,Georg Henrik von Wright:,/wiki/R._B._Braithwaite,52.061,-1.336,AD 1900-01-15 00:00:00,668
Andrews,,,Lysander Spooner:,/wiki/Stephen_Pearl_Andrews,42.55556,-72.06806,AD 1812-04-22 00:00:00,669
Baltasar Gracián y Morales, (1601–1658),Epictetus:Plutarch:Seneca:Desiderius Erasmus:Publilius Syrus:,Arthur Schopenhauer:Friedrich Nietzsche:,/wiki/Baltasar_Graci%C3%A1n_y_Morales,41.31611,-1.54306,AD 1601-01-08 00:00:00,670
Maine de Biran, (1766–1824),Charles Bonnet:Descartes:Bacon:Stoicism:John Locke:Leibniz:Rousseau:Antoine Destutt de Tracy:Pierre Cabanis:Étienne Bonnot de Condillac:,Émile Boutroux:Victor Cousin:Pierre Janet:Louis Lavelle:Félix Ravaisson:Michel Henry:Maurice Blondel:Henri Bergson:François Picavet:,/wiki/Maine_de_Biran,44.85,0.48,AD 1766-11-29 00:00:00,671
Edward Forbes,,,Thomas Henry Huxley:,/wiki/Edward_Forbes,54.145,-4.482,AD 1815-02-12 00:00:00,672
Philo, (20 BC–40 AD),Hellenistic Judaism:Pythagorism:Stoicism:Platonism:,Early Christianity:,/wiki/Philo,31.2,29.917,FILL,673
Boethius,,,Peter Abelard:,/wiki/Boethius,41.883,12.5,FILL,674
Ronald Dworkin, (1931–2013),Aristotle:Learned Hand:Plato:Rupert Cross:H. L. A. Hart:John Rawls:,Jeremy Waldron:Robert Alexy:,/wiki/Ronald_Dworkin,41.82361,-71.42222,AD 1931-12-11 00:00:00,675
Cyprian,,,Augustine of Hippo:,/wiki/Cyprian,36.8528,10.3233,AD 0210-11-01 00:00:00,676
Apollonius of Perga,,,Gottfried Leibniz:,/wiki/Apollonius_of_Perga,FILL,FILL,FILL,677
Adrienne Rich,,,Claudia Card:,/wiki/Adrienne_Rich,39.28944,-76.61528,AD 1929-05-16 00:00:00,678
H. Richard Niebuhr, (1894–1962),,Stanley Hauerwas:Gordon Kaufman:James W. Fowler:James Gustafson:,/wiki/H._Richard_Niebuhr,38.82778,-91.02417,AD 1894-09-03 00:00:00,679
Philip K. Dick,,,Fredric Jameson:,/wiki/Philip_K._Dick,41.88194,-87.62778,AD 1928-12-16 00:00:00,680
Byron,,,Petar II Petrović-Njegoš:,/wiki/Lord_Byron,51.50722,-0.1275,AD 1788-01-22 00:00:00,681
William Harry Jellema,,,Alvin Plantinga:,/wiki/William_Harry_Jellema,FILL,FILL,FILL,682
Herbert McCabe,,,Anthony Kenny:,/wiki/Herbert_McCabe,-34.5997,-58.3731,AD 1926-08-02 00:00:00,683
Zeno of Elea, (c. 495 – c. 430 BC),Parmenides:,Aristotle:Plato:Protagoras:Gorgias:Marcus Aurelius:,/wiki/Zeno_of_Elea,40.16083,15.155,BC 0495-11-01 00:00:00,684
Francesco de Sanctis,,,Benedetto Croce:,/wiki/Francesco_de_Sanctis,FILL,FILL,FILL,685
Musonius Rufus,,,Epictetus:,/wiki/Gaius_Musonius_Rufus,42.64472,11.98583,FILL,686
Arthur Conan Doyle,,,Umberto Eco:,/wiki/Arthur_Conan_Doyle,55.953,-3.189,AD 1859-05-22 00:00:00,687
Palissy,,,Francis Bacon:,/wiki/Bernard_Palissy,FILL,FILL,FILL,688
F. D. Maurice,,,Thomas Hill Green:,/wiki/Frederick_Denison_Maurice,52.167,1.0,AD 1805-08-29 00:00:00,689
John McDowell, (born 1942),Strawson:Hegel:Aristotle:Pippin:Rorty:Davidson:Evans:Brandom:Foot:Gadamer:Wittgenstein:Sellars:Kant:Frege:Wiggins:,Pippin:Crary:Antony:Brandom:Axel Honneth:Fricker:Dancy:,/wiki/John_McDowell,-26.2125,28.2625,AD 1942-03-07 00:00:00,690
Morgan,,,Friedrich Engels:,/wiki/Lewis_H._M,FILL,FILL,FILL,691
Themistoclea,,,Pythagoras:,/wiki/Themistoclea,FILL,FILL,FILL,692
Zimmer,,,Ferdinand de Saussure:,/wiki/Heinrich_Zimmer,54.083,13.383,AD 1890-12-06 00:00:00,693
Karel Čapek,,,Bernard Williams:,/wiki/Karel_%C4%8Capek,50.53417,16.05028,AD 1890-01-09 00:00:00,694
Bonald,,,Joseph de Maistre:,/wiki/Louis_de_Bonald,44.0986,3.0783,AD 1754-10-02 00:00:00,695
Al-Juwayni, (1028–1085),,Abu Hamid al-Ghazali:,/wiki/Al-Juwayni,36.70523,57.417322,AD 1028-02-17 00:00:00,696
Müller,,,Odo Marquard:,/wiki/Max_M%C3%BCller_(Catholic_intellectual),48.467,7.933,AD 1906-09-06 00:00:00,697
Francisco Suárez, (1548–1617),Aristotle:Avicenna:Alonso Rodriguez:Duns Scotus:Scholasticism:Thomas Aquinas:,Grotius:Wolff:Dos Santos:Bueno:Hale:Zubiri:Leibniz:Descartes:Heidegger:Salgado:,/wiki/Francisco_Su%C3%A1rez,37.17806,-3.60083,AD 1548-01-05 00:00:00,698
Léon Brillouin,,,Edgar Morin:,/wiki/L%C3%A9on_Brillouin,48.8239,2.2117,AD 1889-08-07 00:00:00,699
French Moralists,,,Friedrich Nietzsche:,/wiki/French_moralists,FILL,FILL,FILL,700
Fabian Society,,,Karl Korsch:,/wiki/Fabian_Society,FILL,FILL,FILL,701
Georgi Plekhanov, (1856–1918),Mikhail Bakunin:Friedrich Engels:Karl Marx:Ludwig Feuerbach:Baruch Spinoza:,Lenin:,/wiki/Georgi_Plekhanov,52.5,39.933,AD 1856-12-11 00:00:00,702
Gaston Bachelard, (1884–1962),Charles Nodier:Auguste Comte:Émile Meyerson:Carl Jung:Abel Rey:Léon Brunschvicg:Max Picard:,Georges Canguilhem:Rogelio Salmona:Nader El-Bizri:Michel Foucault:François Dagognet:Don Ihde:Cornelius Castoriadis:Gilbert Durand:Alexandre Koyré:Pierre Bourdieu:Gilles Deleuze:Dominique Lecourt:Louis Althusser:Michel Serres:Maurice Merleau-Ponty:Jules Vuillemin:,/wiki/Gaston_Bachelard,48.27,4.72,AD 1884-06-27 00:00:00,703
Bernard Bolzano, (1781–1848),Gottfried Wilhelm Leibniz:Immanuel Kant:,Kevin Mulligan:Kazimierz Twardowski:Edmund Husserl:Heinrich Scholz:Jean Cavaillès:Franz Brentano:Benno Kerry:Carl Stumpf:Gilbert Ryle:Gottlob Frege:Georg Cantor:,/wiki/Bernard_Bolzano,50.083,14.417,AD 1781-10-05 00:00:00,704
Bias of Priene,,,Heraclitus:,/wiki/Bias_of_Priene,FILL,FILL,FILL,705
Sri Aurobindo, (1872–1950),,Ken Wilber:Haridas Chaudhuri:Mirra Alfassa:Auroville:,/wiki/Sri_Aurobindo,22.5726723,88.3638815,AD 1872-08-15 00:00:00,706
Ugo Foscolo,,,Giacomo Leopardi:,/wiki/Ugo_Foscolo,37.8,20.75,AD 1778-02-06 00:00:00,707
Arcesilaus, (316–241 BC),Plato:Crantor:Theophrastus:Pyrrho:Socrates:Crates of Athens:Timon of Phlius:Polemo:,Favorinus:Plutarch:Carneades:Lacydes:Clitomachus:Philo of Larissa:Cicero:,/wiki/Arcesilaus,38.92806,26.93722,BC 0316-05-01 00:00:00,708
Alain,,,Georges Canguilhem:,/wiki/%C3%89mile_Chartier,48.5208,0.5483,AD 1868-03-03 00:00:00,709
Nicholas of Cusa, (1401–1464),Aristotle:Proclus:Plato:Pseudo-Dionysius:Ramon Llull:Albertus Magnus:Gemistus Pletho:Bonaventure:Meister Eckhart:Plotinus:Pythagoreanism:Johannes Scottus Eriugena:Thomas Aquinas:,Mário Ferreira dos Santos:John Fisher:Roberto Mangabeira Unger:Karl Jaspers:Thomas More:Pico della Mirandola:Leibniz:Ludwig von Bertalanffy:Nicolaus Copernicus:Harry Mulisch:Giordano Bruno:Galileo Galilei:,/wiki/Nicholas_of_Cusa,49.91611,7.06944,AD 1401-01-01 00:00:00,710
Martin Buber, (1878–1965),Immanuel Kant:Pierre-Joseph Proudhon:Søren Kierkegaard:Wilhelm Dilthey:Jacob L. Moreno:Sigmund Freud:Ludwig Feuerbach:Rudolf Bultmann:Ralph Waldo Emerson:Georg Simmel:Friedrich Nietzsche:Zhuangzi:,Abraham Joshua Heschel:Hans Urs von Balthasar:Gabriel Marcel:Franz Rosenzweig:Emmanuel Levinas:Emil Brunner:John Berger:Fritz Perls:Walter Kaufmann:Laura Perls:,/wiki/Martin_Buber,48.2,16.367,AD 1878-02-08 00:00:00,711
Bernard de Mandeville, (1670–1733),René Descartes:William Petty:Pierre Bayle:,Adam Smith:Jean-François Melon:Marquis de Sade:Friedrich Hayek:,/wiki/Bernard_de_Mandeville,51.917,4.5,AD 1670-11-15 00:00:00,712
Claude Lefort, (1924–2010),Tocqueville:Marx:Kantorowicz:La Boétie:Arendt:Merleau-Ponty:Solzhenitsyn:Castoriadis:Machiavelli:,Daniel Cohn-Bendit:Miguel Abensour:Marcel Gauchet:,/wiki/Claude_Lefort,48.856613,2.352222,AD 1924-04-21 00:00:00,713
Roman Ingarden, (1893–1970),Kazimierz Twardowski:Immanuel Kant:Edmund Husserl:,Anna-Teresa Tymieniecka:Wolfgang Iser:René Wellek:Pope John Paul II:,/wiki/Roman_Ingarden,50.06139,19.93722,AD 1893-02-05 00:00:00,714
Arnobius,,,Augustine of Hippo:,/wiki/Arnobius,FILL,FILL,FILL,715
Odo Marquard, (1928–2015),Gehlen:Kant:Freud:Müller:,Gerd B. Achenbach:,/wiki/Odo_Marquard,54.46583,17.02917,AD 1928-02-26 00:00:00,716
Rudolf Carnap, (1891–1970),Einstein:Mach:Brentano:Husserl:Russell:Wittgenstein:Kant:Bauch:Frege:Tarski:,Negarestani:Lewis:Bergmann:Goodman:Jeffrey:Gödel:Kuhn:Reichenbach:Ayer:Lakatos:Popper:Davidson:Kaplan:Sellars:Waismann:Dummett:Bar-Hillel:Hempel:Quine:Simon:Tarski:,/wiki/Rudolf_Carnap,51.233,7.2,AD 1891-05-18 00:00:00,717
Horace,,,Augustine of Hippo:,/wiki/Horace,40.9617694,15.8147861,FILL,718
Fakhr al-Din al-Razi, (1149–1209),Ibn Furak:Abu al-Hasan al-Ash'ari:Al-Juwayni:Al-Shafi'i:Al-Ghazali:,Taj al-Din al-Subki:Burhan al-Din al-Nasafi:Ibn Abi Usaybi'a:Al-Safadi:Shihab al-Din al-Qarafi:Athir al-Din al-Abhari:Nizam al-Din al-Nisapuri:Al-Suyuti:,/wiki/Fakhr_al-Din_al-Razi,35.583,51.433,AD 1150-01-26 00:00:00,719
Bismil Azimabadi,,,Muhammad Iqbal:,/wiki/Bismil_Azimabadi,25.6,85.1,AD 1901-11-01 00:00:00,720
Gandillac,,,Gilles Deleuze:,/wiki/Maurice_de_Gandillac,FILL,FILL,FILL,721
René Thom,,,Edgar Morin:,/wiki/Ren%C3%A9_Thom,47.51,6.8,AD 1923-09-02 00:00:00,722
Abraham Kuyper,,,Alvin Plantinga:,/wiki/Abraham_Kuyper,51.933,4.233,AD 1837-10-29 00:00:00,723
Cantillon,,,Adam Smith:,/wiki/Richard_Cantillon,52.2675,-9.6962,AD 1680-01-01 00:00:00,724
Karl Korsch, (1886–1961),Immanuel Kant:Mikhail Bakunin:Georg Wilhelm Friedrich Hegel:Friedrich Engels:Karl Marx:Vladimir Lenin:Fabian Society:,Bertolt Brecht:C.L.R. James:New Left:Felix Weil:Frankfurt School:Douglas Kellner:,/wiki/Karl_Korsch,53.283,9.717,AD 1886-08-15 00:00:00,725
Hadith,,,Ibn Arabi:,/wiki/Hadith,FILL,FILL,FILL,726
Paul de Rousiers,,,Georges Sorel:,/wiki/Paul_de_Rousiers,45.8239,0.8217,AD 1857-01-16 00:00:00,727
Crispin Wright, (born 1942),Michael Dummett:Ludwig Wittgenstein:Noam Chomsky:Gottlob Frege:George Boolos:,Paul Boghossian:Carrie Ichikawa Jenkins:Duncan Pritchard:Jose Zalabardo:Luca Moretti:Michael Lynch:Annalisa Coliva:,/wiki/Crispin_Wright,51.25,-0.417,AD 1942-12-21 00:00:00,728
Church Fathers,,,Joseph de Maistre:,/wiki/Church_Fathers,FILL,FILL,FILL,729
Teresa of Ávila,,,Emil Cioran:,/wiki/Teresa_of_%C3%81vila,40.65,-4.683,AD 1515-03-28 00:00:00,730
Giordano Bruno, (1548–1600),Nicolaus Copernicus:Nicolaus Cusanus:Averroes:,Arthur Schopenhauer:James Joyce:Gottfried Wilhelm Leibniz:Molière:Baruch Spinoza:Galileo Galilei:,/wiki/Giordano_Bruno,40.92611,14.5275,AD 2021-01-01 00:00:00,731
Julien Offray de La Mettrie, (1709–1751),John Locke:François-Joseph Hunauld:Herman Boerhaave:,François Picavet:Michel Onfray:,/wiki/Julien_Offray_de_La_Mettrie,48.6481,-2.0075,AD 1709-11-23 00:00:00,732
Sechenov,,,Nikolai Chernyshevsky:,/wiki/Ivan_Sechenov,41.6725,-86.2553,AD 1829-08-13 00:00:00,733
Lev Shestov, (1866–1938),Nietzsche:Kierkegaard:Heine:Shakespeare:Spinoza:Husserl:Luther:Baudelaire:Dostoyevsky:Lermontov:Tolstoy:Plotinus:Chekhov:Pascal:,Cioran:Bataille:Lévy-Bruhl:Berdyaev:Husserl:Miłosz:Bulgakov:Lawrence:Camus:Murry:Deleuze:Heidegger:Gaultier:,/wiki/Lev_Shestov,50.45,30.52333,AD 1866-02-12 00:00:00,734
Gabriel Tarde,,,Bruno Latour:,/wiki/Gabriel_Tarde,44.8928,1.2153,AD 1843-03-12 00:00:00,735
Mikhail Bakunin, (1814–1876),Hegel:Marx:Proudhon:Feuerbach:Herzen:Buonarroti:,Neill:Malatesta:Marcuse:Thompson:Guérin:Korsch:Chomsky:Postman:Kropotkin:Cafiero:Nechaev:Goldman:,/wiki/Mikhail_Bakunin,57.0,36.0,AD 1814-05-30 00:00:00,736
Léon Brunschvicg,,,Gaston Bachelard:,/wiki/L%C3%A9on_Brunschvicg,48.856613,2.352222,AD 1869-11-10 00:00:00,737
Baha' al-Din Naqshband,,,Shah Wali Allah:,/wiki/Baha%27_al-Din_Naqshband,39.767,64.433,AD 1318-01-01 00:00:00,738
Peter Abelard, (1079–1142),Boethius:Aristotle:Porphyry:,Arnold of Brescia:William of Ockham:John of Salisbury:,/wiki/Peter_Abelard,47.1389,-1.3344,AD 1079-11-01 00:00:00,739
Avempace,,,Jamal al-Din al-Afghani:,/wiki/Avempace,41.65,-0.883,AD 1085-11-01 00:00:00,740
Jean Laplanche,,,Cornelius Castoriadis:,/wiki/Jean_Laplanche,48.856613,2.352222,AD 1924-06-21 00:00:00,741
Dada,,,Guy Debord:,/wiki/Dada,FILL,FILL,FILL,742
Jan Standonck,,,Desiderius Erasmus:,/wiki/Jan_Standonck,FILL,FILL,FILL,743
Molinari,,,Benjamin Tucker:,/wiki/Gustave_de_Molinari,50.63972,5.57056,AD 1819-03-03 00:00:00,744
