,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
127,Hans Wilhelm Frei, (1922–1988),,George Lindbeck:William Placher:,/wiki/Hans_Wilhelm_Frei,51.11,17.0325,AD 1922-04-29 00:00:00
128,Gottfried Leibniz, (1646–1716),Aristotle:Plato:Suárez:Ramon Llull:Malebranche:Euclid:Hobbes:Bossuet:Apollonius of Perga:Confucius:Spinoza:Archimedes:Descartes:Anne Conway:Hugo Grotius:Scholasticism:Pascal:,Rescher:Voltaire:Platner:Hume:Boole:Rousseau:Frege:Wolff:Gauss:Gödel:Kant:Wiener:Newman:Riemann:Rauschenbusch:Mandelbrot:Russell:Deleuze:Euler:Gibbon:Berkeley:Wundt:Lagrange:Peirce:Heidegger:Blondel:Tarski:,/wiki/Gottfried_Leibniz,51.333,12.383,AD 1646-07-01 00:00:00
129,Walther Mayer,,,Gustav Bergmann:,/wiki/Walther_Mayer,FILL,FILL,FILL
130,René Descartes, (1596–1650),Beeckman:Anselm:Elisabeth of the Palatinate:Sextus Empiricus:Augustine:Aristotle:Alhazen:Harvey:Jacobus Golius:Al-Ghazali:Duns Scotus:Plato:Suárez:Stoics:Montaigne:Aquinas:Averroes:Ockham:Archimedes:Teresa of Ávila:Mersenne:Viète:,Locke:Arnauld:Malebranche:Voltaire:Spinoza:Hume:Leibniz:Rousseau:Pascal:Husserl:Kant:Newton:Chomsky:Western philosophy:Nietzsche:Gibbon:Bossuet:Huygens:Schopenhauer:,/wiki/Ren%C3%A9_Descartes,46.9744,0.6986,AD 1596-03-31 00:00:00
131,Petrus Aureolus,,,Gregory of Rimini:,/wiki/Petrus_Aureolus,FILL,FILL,FILL
132,John Ruskin,,,Roger Scruton:,/wiki/John_Ruskin,51.5244,-0.1218,AD 1819-01-01 00:00:00
133,George Frederick Stout, (1860–1944),James Ward:Christian von Ehrenfels:Kazimierz Twardowski:Franz Brentano:Alexius Meinong:Carl Stumpf:,G. E. Moore:Bertrand Russell:,/wiki/George_Frederick_Stout,54.995,-1.43,AD 1860-01-06 00:00:00
134,Peter Kropotkin, (1842–1921),Nietzsche:Bakunin:Marx:Proudhon:Darwin:Guyau:Freud:Reclus:,Makhno:Žižek:Ward:Malatesta:Woodcock:Bookchin:Guérin:Rocker:Berkman:Chomsky:Tolstoy:Kōtoku:Wilde:Black:Gould:Goldman:Kafka:,/wiki/Peter_Kropotkin,,,AD 1842-12-09 00:00:00
135,Pre-Socratic philosophers,,,Eric Voegelin:,/wiki/Pre-Socratic_philosophy,FILL,FILL,FILL
136,Thomas Bradwardine, (c. 1290–1349),Robert Grosseteste:Anselm of Canterbury:,Jean Buridan:,/wiki/Thomas_Bradwardine,50.8365,-0.7792,AD 1300-11-01 00:00:00
137,Franz Brentano, (1838–1917),Bernard Bolzano:Aristotle:Friedrich Adolf Trendelenburg:,Christian von Ehrenfels:Kazimierz Twardowski:Edmund Husserl:Martin Heidegger:Carl Menger:Alexius Meinong:Sigmund Freud:Tomáš Garrigue Masaryk:Vittorio Benussi:Carl Stumpf:George Stout:Rudolf Steiner:Anton Marty:,/wiki/Franz_Brentano,50.367,7.6,AD 1838-01-01 00:00:00
138,Silvio Gesell,,,Rudolf Steiner:,/wiki/Silvio_Gesell,50.267,6.117,AD 1862-03-17 00:00:00
139,John Lucas (philosopher), (born 1929),Kurt Gödel:,Roger Penrose:,/wiki/John_Lucas_(philosopher),51.2365,-0.5703,AD 1929-06-18 00:00:00
140,Brethren of Purity,,,Ibn Sabin:,/wiki/Brethren_of_Purity,FILL,FILL,FILL
141,Darko Suvin,,,Fredric Jameson:,/wiki/Darko_Suvin,45.817,15.983,AD 1930-07-19 00:00:00
142,Gottlob Frege, (1848–1925),Kuno Fischer:Immanuel Kant:Hermann Lotze:Bruno Bauch:Bernard Bolzano:Benno Kerry:Ernst Abbe:Friedrich Adolf Trendelenburg:G. W. Leibniz:David Hume:Otto Liebmann:,Gershom Scholem:Rudolf Carnap:Edmund Husserl:Karl Popper:analytic tradition:Michael Dummett:Ludwig Wittgenstein:Bertrand Russell:Giuseppe Peano:,/wiki/Gottlob_Frege,53.9,11.467,AD 1848-11-08 00:00:00
143,Al-Khalil,,,Al-Kindi:,/wiki/Al-Khalil_ibn_Ahmad_al-Farahidi,21.0,57.0,AD 0718-11-01 00:00:00
144,Rumi,,,Muhammad Iqbal:,/wiki/Rumi,36.76667,66.9,AD 1207-09-30 00:00:00
145,Axel Hägerström,,,Alf Niels Christian Ross:,/wiki/Axel_H%C3%A4gerstr%C3%B6m,FILL,FILL,FILL
146,Henry Jones,,,John Anderson (philosopher):,/wiki/Henry_Jones_(philosopher),53.193,-3.685,AD 1852-11-30 00:00:00
147,Gaetano Mosca, (1858–1941),Aristotle:Max Weber:Karl Marx:Vilfredo Pareto:,Piero Gobetti:Gaetano Salvemini:C. Wright Mills:Samuel T. Francis:Seymour Martin Lipset:Robert Michels:Joseph Schumpeter:James Burnham:Antonio Gramsci:,/wiki/Gaetano_Mosca,38.117,13.367,AD 1858-04-01 00:00:00
148,Hans Thirring,,,Herbert Feigl:,/wiki/Hans_Thirring,48.2,16.367,AD 1888-03-23 00:00:00
149,Catharine MacKinnon,,,Martha Nussbaum:,/wiki/Catharine_A._MacKinnon,44.98194,-93.26917,AD 1946-10-07 00:00:00
