name,birth,incoming_links,outgoing_links,page,latitude,longitude
Peter Geach, (1919–2013),Aristotle:Gotlob Frege:Ludwig Wittgenstein:J. M. E. McTaggart:Thomas Aquinas:,Alasdair MacIntyre:C. J. F. Williams:G. E. M. Anscombe:Michael Dummett:Brian Davies:Anthony Kenny:,/wiki/Peter_Geach,FILL,FILL
Jacob L. Moreno,,,Martin Buber:,/wiki/Jacob_L._Moreno,FILL,FILL
R. B. Braithwaite,,,Georg Henrik von Wright:,/wiki/R._B._Braithwaite,FILL,FILL
Andrews,,,Lysander Spooner:,/wiki/Stephen_Pearl_Andrews,FILL,FILL
Baltasar Gracián y Morales, (1601–1658),Epictetus:Plutarch:Seneca:Desiderius Erasmus:Publilius Syrus:,Arthur Schopenhauer:Friedrich Nietzsche:,/wiki/Baltasar_Graci%C3%A1n_y_Morales,FILL,FILL
Maine de Biran, (1766–1824),Charles Bonnet:Descartes:Bacon:Stoicism:John Locke:Leibniz:Rousseau:Antoine Destutt de Tracy:Pierre Cabanis:Étienne Bonnot de Condillac:,Émile Boutroux:Victor Cousin:Pierre Janet:Louis Lavelle:Félix Ravaisson:Michel Henry:Maurice Blondel:Henri Bergson:François Picavet:,/wiki/Maine_de_Biran,FILL,FILL
Edward Forbes,,,Thomas Henry Huxley:,/wiki/Edward_Forbes,FILL,FILL
Philo, (20 BC–40 AD),Hellenistic Judaism:Pythagorism:Stoicism:Platonism:,Early Christianity:,/wiki/Philo,FILL,FILL
Boethius,,,Peter Abelard:,/wiki/Boethius,FILL,FILL
Ronald Dworkin, (1931–2013),Aristotle:Learned Hand:Plato:Rupert Cross:H. L. A. Hart:John Rawls:,Jeremy Waldron:Robert Alexy:,/wiki/Ronald_Dworkin,FILL,FILL
Cyprian,,,Augustine of Hippo:,/wiki/Cyprian,FILL,FILL
Apollonius of Perga,,,Gottfried Leibniz:,/wiki/Apollonius_of_Perga,FILL,FILL
Adrienne Rich,,,Claudia Card:,/wiki/Adrienne_Rich,FILL,FILL
H. Richard Niebuhr, (1894–1962),,Stanley Hauerwas:Gordon Kaufman:James W. Fowler:James Gustafson:,/wiki/H._Richard_Niebuhr,FILL,FILL
Philip K. Dick,,,Fredric Jameson:,/wiki/Philip_K._Dick,FILL,FILL
Byron,,,Petar II Petrović-Njegoš:,/wiki/Lord_Byron,FILL,FILL
William Harry Jellema,,,Alvin Plantinga:,/wiki/William_Harry_Jellema,FILL,FILL
Herbert McCabe,,,Anthony Kenny:,/wiki/Herbert_McCabe,FILL,FILL
Zeno of Elea, (c. 495 – c. 430 BC),Parmenides:,Aristotle:Plato:Protagoras:Gorgias:Marcus Aurelius:,/wiki/Zeno_of_Elea,FILL,FILL
Francesco de Sanctis,,,Benedetto Croce:,/wiki/Francesco_de_Sanctis,FILL,FILL
Musonius Rufus,,,Epictetus:,/wiki/Gaius_Musonius_Rufus,FILL,FILL
Arthur Conan Doyle,,,Umberto Eco:,/wiki/Arthur_Conan_Doyle,FILL,FILL
Palissy,,,Francis Bacon:,/wiki/Bernard_Palissy,FILL,FILL
F. D. Maurice,,,Thomas Hill Green:,/wiki/Frederick_Denison_Maurice,FILL,FILL
John McDowell, (born 1942),Strawson:Hegel:Aristotle:Pippin:Rorty:Davidson:Evans:Brandom:Foot:Gadamer:Wittgenstein:Sellars:Kant:Frege:Wiggins:,Pippin:Crary:Antony:Brandom:Axel Honneth:Fricker:Dancy:,/wiki/John_McDowell,FILL,FILL
Morgan,,,Friedrich Engels:,/wiki/Lewis_H._M,FILL,FILL
Themistoclea,,,Pythagoras:,/wiki/Themistoclea,FILL,FILL
Zimmer,,,Ferdinand de Saussure:,/wiki/Heinrich_Zimmer,FILL,FILL
Karel Čapek,,,Bernard Williams:,/wiki/Karel_%C4%8Capek,FILL,FILL
Bonald,,,Joseph de Maistre:,/wiki/Louis_de_Bonald,FILL,FILL
Al-Juwayni, (1028–1085),,Abu Hamid al-Ghazali:,/wiki/Al-Juwayni,FILL,FILL
Müller,,,Odo Marquard:,/wiki/Max_M%C3%BCller_(Catholic_intellectual),FILL,FILL
Francisco Suárez, (1548–1617),Aristotle:Avicenna:Alonso Rodriguez:Duns Scotus:Scholasticism:Thomas Aquinas:,Grotius:Wolff:Dos Santos:Bueno:Hale:Zubiri:Leibniz:Descartes:Heidegger:Salgado:,/wiki/Francisco_Su%C3%A1rez,FILL,FILL
Léon Brillouin,,,Edgar Morin:,/wiki/L%C3%A9on_Brillouin,FILL,FILL
French Moralists,,,Friedrich Nietzsche:,/wiki/French_moralists,FILL,FILL
Fabian Society,,,Karl Korsch:,/wiki/Fabian_Society,FILL,FILL
