,name,birth,incoming_links,outgoing_links,page
377,J. L. Mackie, (1917–1981),David Hume:John Anderson:,Colin MacLeod:Michael Martin:Richard Joyce:,/wiki/J._L._Mackie
378,Salomon Maimon,) (1753–1800),Wolff:Leibniz:Spinoza:Hume:Kant:Reinhold:Maimonides:,Deleuze:Reinhold:Fichte:,/wiki/Salomon_Maimon
379,Maimonides,) (1135–1204),Talmud:Aristotle:Plato:Avempace:Averroes:al-Farabi:Al-Ghazali:Avicenna:,Buber:Joyce:Rosenzweig:Fackenheim:Newton:Albertus Magnus:Strauss:Levinas:Aquinas:Friedländer:Spinoza:Leibniz:Jewish philosophy:Catholic theology:Bodin:,/wiki/Maimonides
380,Maine de Biran, (1766–1824),Charles Bonnet:Descartes:Bacon:Stoicism:John Locke:Leibniz:Rousseau:Antoine Destutt de Tracy:Pierre Cabanis:Étienne Bonnot de Condillac:,Émile Boutroux:Victor Cousin:Pierre Janet:Louis Lavelle:Félix Ravaisson:Michel Henry:Maurice Blondel:Henri Bergson:François Picavet:,/wiki/Maine_de_Biran
381,Errico Malatesta, (1853–1932),Pierre-Joseph Proudhon:Mikhail Bakunin:Peter Kropotkin:Carlo Cafiero:Élisée Reclus:,anarchism in Argentina:Virginia Bolten:FORA:Élisée Reclus:Antonio Gramsci:,/wiki/Errico_Malatesta
382,Norman Malcolm, (1911–1990),Anselm of Canterbury:Søren Kierkegaard:Ludwig Wittgenstein:René Descartes:Oets Kolk (O.K.) Bouwsma:,Sydney Shoemaker:Oets Kolk (O.K.) Bouwsma:John Rawls:,/wiki/Norman_Malcolm
383,Nicolas Malebranche, (1638–1715),René Descartes:St. Augustine:Thomas Aquinas:,Louis Gabriel Ambroise de Bonald:Montesquieu:George Berkeley:Louis Lavelle:Alain Badiou:Jacob Bernoulli:Giambattista Vico:Augusto Del Noce:Joseph de Maistre:David Hume:Leibniz:J.-J. Rousseau:John Henry Newman:,/wiki/Nicolas_Malebranche
384,Ernst Mally, (1879–1944),Louis Couturat:Ernst Schröder:Alexius Meinong:,Edward N. Zalta:,/wiki/Ernst_Mally
385,Bernard de Mandeville, (1670–1733),René Descartes:William Petty:Pierre Bayle:,Adam Smith:Jean-François Melon:Marquis de Sade:Friedrich Hayek:,/wiki/Bernard_de_Mandeville
386,Gabriel Marcel, (1887–1973),Edmund Husserl:Søren Kierkegaard:Martin Heidegger:Josiah Royce:François Mauriac:Henri Bergson:Nikolai Berdyaev:Friedrich Schelling:Martin Buber:,Pierre Boutang:Jean Wahl:Paul Ricœur:Walker Percy:Emmanuel Levinas:John Paul II:,/wiki/Gabriel_Marcel
387,Ruth Barcan Marcus, (1921–2012),Willard Van Orman Quine:Arthur Prior:,Saul Kripke:Timothy Williamson:,/wiki/Ruth_Barcan_Marcus
388,Herbert Marcuse, (1898–1979),Friedrich Pollock:Immanuel Kant:Edmund Husserl:Friedrich Engels:Martin Heidegger:Karl Marx:Sigmund Freud:Theodor W. Adorno:G. W. F. Hegel:Max Horkheimer:Friedrich Nietzsche:,Jürgen Habermas:Xi Jinping:Douglas Kellner:Emerita Quito:Andrew Feenberg:Bob Black:Angela Davis:George Katsiaficas:Norman O. Brown:Abbie Hoffman:,/wiki/Herbert_Marcuse
389,Joseph Maréchal, (1878–1944),Immanuel Kant:Thomas Aquinas:,Karl Rahner:Richard De Smet:Bernard Lonergan:,/wiki/Joseph_Mar%C3%A9chal
390,José Carlos Mariátegui, (1894–1930),Manuel González Prada:Georges Sorel:Karl Marx:Rosa Luxemburg:Benedetto Croce:Vladimir Lenin:Friedrich Nietzsche:Antonio Gramsci:,Abimael Guzmán:Che Guevara:Javier Mariátegui:Gustavo Gutiérrez:,/wiki/Jos%C3%A9_Carlos_Mari%C3%A1tegui
391,Jacques Maritain, (1882–1973),Aristotle:John of St. Thomas:Charles Baudelaire:Charles Maurras:Étienne Gilson:Thomas Aquinas:,Mortimer J. Adler:John Haddox:Ivan Illich:Yves Simon:Yves Congar:John F. X. Knasas:Jean Daujat:Emmanuel Mounier:,/wiki/Jacques_Maritain
392,Svetozar Marković, (1846–1875),Karl Marx:Nikolai Chernyshevsky:,Ljubodrag Simonović:Nikola Pašić:,/wiki/Svetozar_Markovi%C4%87
393,Odo Marquard, (1928–2015),Gehlen:Kant:Freud:Müller:,Gerd B. Achenbach:,/wiki/Odo_Marquard
394,Marsilius of Inghen, (1330–1396),Jean Buridan:William of Ockham:Aristotle:Peter of Spain:,,/wiki/Marsilius_of_Inghen
395,Anton Marty, (1847–1914),Franz Brentano:,Roman Jakobson:,/wiki/Anton_Marty
396,Karl Marx, (1818–1883),Johann Wolfgang von Goethe:Jean Charles Léonard de Sismondi:Charles Darwin:Friedrich Engels:Charles Fourier:Voltaire:Claude Adrien Helvétius:François-Noël Babeuf:Jean-Jacques Rousseau:Ludwig von Westphalen:Aristotle:William Shakespeare:David Ricardo:William Thompson:Moses Hess:Adam Ferguson:Robert Owen:Henri de Saint-Simon:Baruch Spinoza:Max Stirner:Justus von Liebig:Pierre-Joseph Proudhon:Constantin Pecqueur:Baron d'Holbach:Friedrich Wilhelm Schulz:Giambattista Vico:Ludwig Feuerbach:Epicurus:Maximilien Robespierre:Victor Considerant:Charles Babbage:François Guizot:Adam Smith:G. W. F. Hegel:,List of Marxists:,/wiki/Karl_Marx
397,Damaris Cudworth Masham, (1659–1708),Aristotle:Nicholas of Cusa:Ralph Cudworth:Plato:The Bible:Plotinus:Augustine of Hippo:,John Locke:Immanuel Kant:David Hume:Denis Diderot:,/wiki/Damaris_Cudworth_Masham
398,John McDowell, (born 1942),Strawson:Hegel:Aristotle:Pippin:Rorty:Davidson:Evans:Brandom:Foot:Gadamer:Wittgenstein:Sellars:Kant:Frege:Wiggins:,Pippin:Crary:Antony:Brandom:Axel Honneth:Fricker:Dancy:,/wiki/John_McDowell
399,Colin McGinn, (born 1950),Edmund Gettier:,,/wiki/Colin_McGinn
400,John Ellis McTaggart, (1866–1925),T. H. Green:G. W. F. Hegel:,Peter Geach:Michael Oakeshott:Michael Dummett:S. V. Keeling:,/wiki/John_Ellis_McTaggart
401,George Herbert Mead, (1863–1931),Josiah Royce:William James:Wilhelm Wundt:John Dewey:Charles Cooley:,Jürgen Habermas:Charles W. Morris:Eugene Halton:Herbert Blumer:C. Wright Mills:John Dewey:H. Richard Niebuhr:,/wiki/George_Herbert_Mead
402,Georg Friedrich Meier, (1718–1777),A. G. Baumgarten:,Immanuel Kant:,/wiki/Georg_Friedrich_Meier
403,Alexius Meinong, (1853–1920),David Hume:Franz Brentano:,Terence Parsons:Edward N. Zalta:William J. Rapaport:Roderick Chisholm:Panayot Butchvarov:Ernst Mally:Richard Hönigswald:Bertrand Russell:Héctor-Neri Castañeda:George Stout:Richard Routley:Graham Priest:Dale Jacquette:,/wiki/Alexius_Meinong
404,Melissus of Samos, (late 5th century BC),Parmenides:,,/wiki/Melissus_of_Samos
405,Mencius,) (372–289 BC),Zisi:Confucius:,Chinese philosophy:,/wiki/Mencius
406,Maurice Merleau-Ponty, (1908–1961),Marcel:Brunschvicg:Uexküll:Malebranche:Chardin:Driesch:Schelling:Husserl:Köhler:Proust:Kojève:Kant:Descartes:Tinbergen:Fink:Lacan:Bergson:Mounier:Saussure:Whitehead:Darwin:Heraclitus:Koffka:Sartre:Beauvoir:Bachelard:Freud:Plotinus:Schilder:Coghill:Nietzsche:Hegel:Lévi-Strauss:Marx:Klein:Gesell:Scheler:Heidegger:Weber:Piaget:,Varela:Zahavi:Diprose:Harman:Lefort:Young:Ricoeur:Schillebeeckx:Lawlor:Simondon:Abram:Crowther:Gallagher:Giorgi:McClamrock:Bourdieu:Vesely:Hillman:Dreyfus:Henry:El-Bizri:Irigaray:Lacan:Butler:Polanyi:Virilio:Thảo:Thompson:Danto:Sartre:Ihde:Foucault:Manha:Guenther:Deleuze:Edie:Ahmed:Johnson:Kompridis:Clark:Barbaras:Castoriadis:Laplanche:,/wiki/Maurice_Merleau-Ponty
407,István Mészáros (philosopher), (1930–2017),Karl Marx:György Lukács:,Cliff Slaughter:,/wiki/Istv%C3%A1n_M%C3%A9sz%C3%A1ros_(philosopher)
408,Emile Meyerson, (1859–1933),Albert Einstein:Immanuel Kant:Auguste Comte:,Thomas Kuhn:Gaston Bachelard:Jacques Lacan:,/wiki/Emile_Meyerson
409,Mary Midgley, (1919–2018),James Lovelock:Aristotle:C. S. Lewis:G. E. Moore:Konrad Lorenz:Joseph Butler:,,/wiki/Mary_Midgley
410,Miki Kiyoshi,NA,Nishida Kitaro:,,/wiki/Kiyoshi_Miki
411,James Mill, (1773–1836),Jeremy Bentham:Dugald Stewart:David Hartley:,John Stuart Mill:,/wiki/James_Mill
412,John Stuart Mill, (1806–1873),Auguste Comte:Locke:Herder:Harriet Taylor Mill:Hobbes:James Mill:Socrates:Hume:Smith:Senior:Babbage:Wordsworth:Aristotle:Demosthenes:Bain:Marmontel:Guizot:Coleridge:Utopian Socialists:Plato:Aquinas:Francis Place:Goethe:Ricardo:Epicurus:Sismondi:Tocqueville:Berkeley:W. von Humboldt:Bentham:Saint-Simon:,Social liberalism:Ortega y Gasset:Crisp:Russell:Weber:,/wiki/John_Stuart_Mill
413,Ruth Millikan, (born 1933),Wilfrid Sellars:,,/wiki/Ruth_Millikan
414,Jacob Moleschott, (1822–1893),,Ivan Pavlov:,/wiki/Jacob_Moleschott
415,Luis de Molina, (1535–1600),Augustine of Hippo:Thomas Aquinas:,Alvin Plantinga:William Lane Craig:Western Theology:,/wiki/Luis_de_Molina
416,Richard Montague, (1930–1971),Alfred Tarski:,,/wiki/Richard_Montague
417,Michel de Montaigne, (1533–1592),Horace:Diogenes Laertius:Plato:Lucretius:Ovid:Heraclitus:Étienne de La Boétie:Plutarch:Terence:Virgil:Seneca:Socrates:Sextus Empiricus:Augustine:Epicurus:Cicero:,Charles Darwin:Albert Hirschman:José Saramago:Voltaire:Eric Hoffer:Blaise Pascal:Francis Bacon:Virginia Woolf:Jean-Jacques Rousseau:William Shakespeare:William Hazlitt:Isaac Asimov:Michel Foucault:Jean Paul Sartre:Pierre Charron:Fulton Sheen:Ralph Waldo Emerson:David Hume:Gore Vidal:Montesquieu:Michel Onfray:Karl Marx:John Henry Newman:Stefan Zweig:Jean-François Lyotard:Étienne de La Boétie:René Descartes:Sigmund Freud:Albert Camus:Friedrich Nietzsche:Alexander Pushkin:Edward Gibbon:,/wiki/Michel_de_Montaigne
418,"Charles de Secondat, Baron de Montesquieu", (1689–1755),Aristotle:Thomas Hobbes:18th-century English constitution:René Descartes:John Locke:Nicolas Malebranche:Jean Bodin:Polybius:Cicero:,Edmund Burke:United States Constitution:G.W.F. Hegel:Émile Durkheim:Jean de Sismondi:Hannah Arendt:Prosper de Barante:Adam Ferguson:Thomas Paine:Alexis de Tocqueville:David Hume:Rousseau:,"/wiki/Charles_de_Secondat,_Baron_de_Montesquieu"
419,G. E. Moore, (1873–1958),John McTaggart:Henry Sidgwick:Thomas Reid:Bertrand Russell:George Stout:Gottlob Frege:,W. D. Ross:Ludwig Wittgenstein:Bertrand Russell:,/wiki/G._E._Moore
420,Thomas More, (1478–1535),Augustine of Hippo:Aristotle:Plato:Amerigo Vespucci:John Fisher:Lucian:Socrates:Thomas Aquinas:Dante Alighieri:Erasmus:Giovanni Pico della Mirandola:Cicero:,William Shakespeare:John Henry Newman:,/wiki/Thomas_More
421,Edgar Morin, (born 1921),Henri Laborit:Heinz von Foerster:René Thom:Gregory Bateson:Niels Bohr:Kostas Axelos:John von Neumann:Gotthard Günther:Henri Atlan:Fyodor Dostoevsky:Baruch Spinoza:Gaston Bachelard:Léon Brillouin:Georg Wilhelm Friedrich Hegel:Heraclitus:Karl Marx:Cornelius Castoriadis:Blaise Pascal:Georges Bataille:,,/wiki/Edgar_Morin
422,Gaetano Mosca, (1858–1941),Aristotle:Max Weber:Karl Marx:Vilfredo Pareto:,Piero Gobetti:Gaetano Salvemini:C. Wright Mills:Samuel T. Francis:Seymour Martin Lipset:Robert Michels:Joseph Schumpeter:James Burnham:Antonio Gramsci:,/wiki/Gaetano_Mosca
423,Emmanuel Mounier, (1905–1950),Plato:Jacques Chevalier:Henri Bergson:Charles Péguy:Marc Sangnier:Jacques Maritain:,Abbé Pierre:Pierre Trudeau:Ngo Dinh Nhu:Paul Ricœur:,/wiki/Emmanuel_Mounier
424,Mozi,) (c. 470 – c. 390 BC),,Zhuang Zhou:Chinese Buddhism:Logicians:Taoism:Eastern philosophy:,/wiki/Mozi
425,Mulla Sadra, (1571–1640),Sheykh Baha'i:Ibn Arabi:Shahab al-Din Suhrawardi:Mir Damad:Imam Ali:Bahāʾ al-dīn al-ʿĀmilī:Avicenna:,Abul A'la Maududi:Gholamhossein Ebrahimi Dinani:Ruhollah Khomeini:Muhammad Husayn Tabatabaei:Hossein Nasr:Hadi Sabzavari:Morteza Motahhari:,/wiki/Mulla_Sadra
426,Iris Murdoch, (1919–1999),Plato:Stuart Hampshire:Simone Weil:Jean-Paul Sartre:Philippa Foot:,Elizabeth Anscombe:Martha Nussbaum:Philippa Foot:,/wiki/Iris_Murdoch
427,Musonius Rufus,NA,,Epictetus:,/wiki/Gaius_Musonius_Rufus
428,Arne Næss, (1912–2009),Gandhi:Martin Heidegger:Buddha:Rachel Carson:Baruch Spinoza:,,/wiki/Arne_N%C3%A6ss
429,Ernest Nagel, (1901–1985),John Dewey:Morris Raphael Cohen:Rudolf Carnap:,D. Hofstadter:H. Kyburg:M. Bunge:I. Levi:P. Suppes:,/wiki/Ernest_Nagel
430,Jean-Luc Nancy, (born 1940),Nietzsche:Hegel:Bataille:Lacoue-Labarthe:Schelling:Granel:Derrida:Blanchot:Freud:Baudelaire:Simone Weil:Heidegger:,Avital Ronell:Shaj Mohan:Lacoue-Labarthe:Karimi:Esposito:Derrida:Agamben:Werner Hamacher:Blanchot:Todd May:Claire Denis:Divya Dwivedi:,/wiki/Jean-Luc_Nancy
431,Hossein Nasr,NA,Avicenna:,,/wiki/Seyyed_Hossein_Nasr
432,Paul Gerhard Natorp, (1854–1924),Hermann Cohen:Ernst Laas:,José Ortega y Gasset:Rabindranath Tagore:Edmund Husserl:Ernst Cassirer:Martin Heidegger:Karl Barth:Hans-Georg Gadamer:,/wiki/Paul_Gerhard_Natorp
433,Antonio Negri, (born 1933),Carl Schmitt:Mario Tronti:György Lukács:Félix Guattari:Michel Foucault:Baruch Spinoza:Augustine of Hippo:Karl Marx:Jacques Camatte:Jean Baudrillard:Niccolò Machiavelli:Galvano Della Volpe:Antonio Gramsci:Thomas Hobbes:Henri Lefebvre:Gilles Deleuze:Louis Althusser:G. W. F. Hegel:Raya Dunayevskaya:,Tiqqun:Hugo Chávez:Leopoldina Fortunati:Michael Hardt:Richard J. F. Day:,/wiki/Antonio_Negri
434,Leonard Nelson, (1882–1927),Ernst Friedrich Apelt:Immanuel Kant:Neo-Kantianism:David Hilbert:Gerhard Hessenberg:Jakob Friedrich Fries:,Kurt Grelling:Minna Specht:Paul Bernays:,/wiki/Leonard_Nelson
435,Otto Neurath, (1882–1945),Ernst Mach:James George Frazer:,John O'Neill:Berlin Circle:Vienna Circle:,/wiki/Otto_Neurath
436,John Henry Newman, (1801–1890),Basil of Caesarea:Damião de Góis:Alexis De Tocqueville:Shakespeare:Isaac Newton:Alexander Pope:Socrates:Voltaire:Klemens von Metternich:Keble:Spinoza:Richard Whately:John Milton:Jean-Jacques Rousseau:Edmund Burke:Gaius Marius Victorinus:Aristotle:Galileo:Tractarianism:St. John Fisher:Origen:John Locke:Athanasius:Marquis de Lafayette:Joseph de Maistre:David Hume:Erasmus:Copernicus:Cicero:Plato:Montesquieu:Montalembert:St. Augustine:Thomas Paine:St. Thomas Aquinas:Thomas Jefferson:Dante Alighieri:Rene Descartes:Joseph Butler:Clement of Alexandria:Tertullian:Louis de Bonald:St. Thomas More:Adam Smith:Edward Gibbon:,Francis:Fulton J. Sheen:Dorothy Day:Flannery O'Connor:Lord Acton:Simone Weil:Ronald Knox:J. R. R. Tolkien:Bernard Lonergan:Oscar Wilde:Matthew Arnold:William F. Buckley Jr.:G. K. Chesterton:Robert Hugh Benson:Gerard Manley Hopkins:Benedict XVI:Alvin Plantinga:Alasdair MacIntyre:Russell Kirk:Linda Trinkaus Zagzebski:Charles Dickens:Jaroslav Pelikan:Hilaire Belloc:James Joyce:C. S. Lewis:George MacDonald:Leo XIII:C. H. Douglas:,/wiki/John_Henry_Newman
437,Nicholas of Cusa, (1401–1464),Aristotle:Proclus:Plato:Pseudo-Dionysius:Ramon Llull:Albertus Magnus:Gemistus Pletho:Bonaventure:Meister Eckhart:Plotinus:Pythagoreanism:Johannes Scottus Eriugena:Thomas Aquinas:,Mário Ferreira dos Santos:John Fisher:Roberto Mangabeira Unger:Karl Jaspers:Thomas More:Pico della Mirandola:Leibniz:Ludwig von Bertalanffy:Nicolaus Copernicus:Harry Mulisch:Giordano Bruno:Galileo Galilei:,/wiki/Nicholas_of_Cusa
438,H. Richard Niebuhr, (1894–1962),,Stanley Hauerwas:Gordon Kaufman:James W. Fowler:James Gustafson:,/wiki/H._Richard_Niebuhr
439,Friedrich Nietzsche, (1844–1900),Hölderlin:Herder:Parmenides:Shakespeare:Sainte-Beuve:Mainländer:Sophocles:Socrates:Herzen:Dostoyevsky:Bourget:Spinoza:Spir:Milesian School:Machiavelli:Mill:Aeschylus:Rée:Ortlepp:Euripides:Diogenes Laërtius:Zoroaster:Strauss:von Hellwald:Wagner:Renan:Baudelaire:Hesiod:Kant:Teichmüller:Plato:Stendhal:Montaigne:Heraclitus:Feuerbach:Darwin:Cervantes:Goethe:Epicurus:Pindar:Thucydides:Homer:Maupassant:Bahnsen:Hegel:Spencer:Theognis of Megara:Emerson:Lange:Burckhardt:Archilochus:Xenophon:French Moralists:Schopenhauer:,Auden:Unamuno:Hesse:Ricœur:Spengler:Strindberg:Hamsun:Asad:Klossowski:Sarah Kofman:Adorno:Cioran:Tönnies:Weizmann:Rand:Brandes:Strauss:Campbell:Willard:Mencken:Camus:Proust:Bataille:Buber:Unger:Shestov:Steiner:Derrida:Jung:Malraux:Sartre:Stevens:Iqbal:Foucault:Malaka:Yeats:Deleuze:Nehamas:Rogers:Kaufmann:MacIntyre:Tillich:Adler:Castoriadis:Blanchot:Mann:Heidegger:Weber:,/wiki/Friedrich_Nietzsche
440,Nishida Kitaro,NA,,Nishitani Keiji:,/wiki/Kitaro_Nishida
441,Nishitani Keiji,NA,Nishida Kitaro:,,/wiki/Keiji_Nishitani
442,Robert Nozick, (1938–2001),Immanuel Kant:H.L. Mencken:Ludwig Von Mises:Milton Friedman:Henry Hazlitt:Sidney Morgenbesser:Friedrich von Hayek:John Locke:John Stuart Mill:Carl Gustav Hempel:Edmund Gettier:Murray Rothbard:,Roderick Long:Thomas Ernest Woods Jr.:Rand Paul:Walter Block:Ron Paul:Hans-Hermann Hoppe:Jan Narveson:David Schmidtz:Stefan Molyneux:Thomas Sowell:Lew Rockwell:Tamar Gendler:,/wiki/Robert_Nozick
443,Martha Nussbaum, (born 1947),Aristotle:Bernard Williams:G. E. L. Owen:Amartya Sen:John Stuart Mill:John Rawls:Adam Smith:Catharine MacKinnon:,David G. Hebert:Elizabeth S. Anderson:Louise Antony:Amartya Sen:Linda Martín Alcoff:,/wiki/Martha_Nussbaum
444,Michael Oakeshott, (1901–1990),Dilthey:Hegel:Aristotle:Tönnies:Simmel:Plato:Burke:Bradley:Pater:Hobbes:Spinoza:Kant:Collingwood:,Andrew Sullivan:Maurice Cowling:Richard E. Flathman:J. G. A. Pocock:Gertrude Himmelfarb:Hayden White:Margaret Thatcher:John N. Gray:Leo Strauss:,/wiki/Michael_Oakeshott
445,William of Ockham, (c. 1285–1349),Petrus Aureolus:Aristotle:Anselm of Canterbury:Duns Scotus:Henry Harclay:Durandus of Saint-Pourçain:Peter Abelard:Thomas Aquinas:,John Wycliffe:Thomas Hobbes:Gabriel Biel:Martin Luther:Jean Buridan:John Calvin:René Descartes:Gregory of Rimini:Bertrand Russell:Albert of Saxony:Henry VIII:Adam de Wodeham:,/wiki/William_of_Ockham
446,Michel Onfray, (born 1959),Pierre-Joseph Proudhon:Charles Darwin:individualist anarchism:Michel Foucault:Karl Marx:Sigmund Freud:Georges Palante:Gilles Deleuze:Georges Bataille:Albert Camus:Epicurus:Friedrich Nietzsche:,,/wiki/Michel_Onfray
447,"Onora O'Neill, Baroness O'Neill of Bengarve", (born 1941),John Rawls:Immanuel Kant:Christine Korsgaard:,Christine Korsgaard:Katrin Flikschuh:,"/wiki/Onora_O%27Neill,_Baroness_O%27Neill_of_Bengarve"
448,Nicole Oresme, (1320–1382),Jean Buridan:William of Ockham:Aristotle:,Henry of Langenstein:Galileo Galilei:,/wiki/Nicole_Oresme
449,José Ortega y Gasset, (1883–1955),Arthur Schopenhauer:Immanuel Kant:Edmund Husserl:Wilhelm Dilthey:Max Scheler:Paul Natorp:John Stuart Mill:Henri Bergson:Alexis de Tocqueville:Miguel de Unamuno:Hermann Cohen:Wilhelm von Humboldt:C. S. Peirce:Friedrich Nietzsche:José Ingenieros:,Graham Harman:José Antonio Primo de Rivera:José Gaos:Gregory Areshian:Xavier Zubiri:Generation of '27:María Zambrano:Alain de Benoist:Olavo de Carvalho:Mario Vargas Llosa:Julián Marías:Albert Jay Nock:Davud Monshizadeh:Antonio Machado:,/wiki/Jos%C3%A9_Ortega_y_Gasset
450,Thomas Paine, (1737–1809),Montesquieu:Religious Society of Friends:Jacobin:John Locke:Benjamin Franklin:Voltaire:David Hume:Jean-Jacques Rousseau:Edward Gibbon:,William Godwin:Jyotirao Phule:Mary Wollstonecraft:Christopher Hitchens:Charles Darwin:Karl Marx:Thomas Edison:Mark Twain:Sigmund Freud:Bertrand Russell:Abraham Lincoln:George Carlin:Robert G. Ingersoll:Thomas Jefferson:Pierre Victurnien Vergniaud:Moncure D. Conway:Friedrich Nietzsche:,/wiki/Thomas_Paine
451,Panaetius, (c. 185 – c. 110 BC),Antipater of Tarsus:Diogenes of Babylon:,Posidonius:Hecato:Cicero:,/wiki/Panaetius
452,Wolfhart Pannenberg, (1928–2014),Karl Barth:Edmund Schlink:G. W. F. Hegel:Hans von Campenhausen:Karl Löwith:Gerhard von Rad:,Carl Braaten:Roger Olson:Ted Peters:Robert Jenson:Jon Sobrino:,/wiki/Wolfhart_Pannenberg
453,David Papineau, (born 1947),Ian Hacking:,Stathis Psillos:,/wiki/David_Papineau
454,Paracelsus, (1493–1541),Neoplatonism:Johannes Trithemius:Marsilio Ficino:Pythagoreanism:Hermeticism:,Giorgio Agamben:Jane Bennett:Jan Baptist van Helmont:Adam Haslmayr:Thomas Muffet:Gabriel François Venel:Sir Thomas Browne:Franciscus Sylvius:,/wiki/Paracelsus
455,Derek Parfit, (1942–2017),Henry Sidgwick:Immanuel Kant:A. J. Ayer:Shelly Kagan:R. M. Hare:Amartya Sen:Jonathan Glover:James Griffin:Thomas Nagel:John Locke:John Stuart Mill:T. M. Scanlon:Christine Korsgaard:P. F. Strawson:David Pears:Ronald Dworkin:,Thomas Hurka:Ruth Chang:Brad Hooker:Jeff McMahan:Samuel Scheffler:Larry Temkin:John Cottingham:Peter Singer:,/wiki/Derek_Parfit
456,Parmenides, (5th century BC),Heraclitus:Xenophanes of Colophon:,Nietzsche:Melissus of Samos:Eleatic School:Meinong:Plato:Spinoza:Socrates:Leibniz:Zeno of Elea:Empedocles:Anaxagoras:Heidegger:Emanuele Severino:,/wiki/Parmenides
457,Blaise Pascal, (1623–1662),Epictetus:Cornelius Jansen:Evangelista Torricelli:Michel de Montaigne:René Descartes:St. Augustine of Hippo:Gilles de Roberval:Étienne Pascal:Gerolamo Cardano:,Antoine Arnauld:William Lane Craig:Pierre Duhem:William James:Henri Bergson:Alexis de Tocqueville:G. W. Leibniz:Léon Brunschvicg:,/wiki/Blaise_Pascal
458,John Arthur Passmore, (1914–2004),Gilbert Ryle:John Anderson:,,/wiki/John_Arthur_Passmore
459,Jan Patočka, (1907–1977),Fink:Hegel:Nietzsche:Plato:Weischedel:Heraclitus:Husserl:Socrates:Heidegger:,Havel:Charter 77:Prague Spring:Kohák:Czech philosophy:,/wiki/Jan_Pato%C4%8Dka
460,Francesco Patrizi da Cherso,) (1529–1597),Aristotle:Plato:,Pierre Gassendi:Isaac Newton:Tommaso Campanella:Henry More:Rene Descartes:Giordano Bruno:,/wiki/Francesco_Patrizi_da_Cherso
461,Paul of Venice, (1369–1429),Walter Burley:Aristotle:John Wycliffe:Albertus Magnus:Averroes:Giles of Rome:Augustine:Duns Scotus:Thomas Aquinas:,Paolo da Pergola:Gaetano da Thiene:,/wiki/Paul_of_Venice
462,Charles Sanders Peirce, (1839–1914),Immanuel Kant:George Boole:Benjamin Peirce:Herbert Spencer:G. W. F. Hegel:Richard Whately:Thomas Reid:Duns Scotus:Georg Cantor:,C. W. Mills:Alfred Tarski:Richard Swedberg:William James:John Dewey:Gilles Deleuze:Umberto Eco:Christine Ladd:Louis Couturat:Ernst Schröder:John Deely:,/wiki/Charles_Sanders_Peirce
463,Johann Heinrich Pestalozzi, (1746–1827),Jean-Jacques Rousseau:,Albert Einstein:Maria Montessori:,/wiki/Johann_Heinrich_Pestalozzi
464,Jordan B. Peterson, (born 1962),Nietzsche:Orwell:Jung:Solzhenitsyn:Dostoyevsky:Piaget:,,/wiki/Jordan_B._Peterson
465,Joane Petrizi, (12th century),Aristotle:Plato:,,/wiki/Joane_Petrizi
466,Branislav Petronijević, (1875–1954),Hegel:Aristotle:Berkeley:Hartmann:Lotze:Spinoza:Leibniz:Herbart:,,/wiki/Branislav_Petronijevi%C4%87
467,Petar II Petrović-Njegoš, (1813–1851),Pushkin:Danilo I:Milton:Hesiod:Byron:Sarajlija:Serbian epic poetry:Homer:Dante:,Young Bosnia:Radičević:Kiš:Brković:Brajković:Ljubiša:Andrić:Serbian epic poetry:Skerlić:Djilas:Sekulić:Mažuranić:S. Ćorović:M. Miljanov:Kostić:Bećković:Simonović:Nikola I:Jakšić:Ilić:Gaćinović:Amfilohije:Crnjanski:Velimirović:Princip:Ljubibratić:,/wiki/Petar_II_Petrovi%C4%87-Njego%C5%A1
468,Philo, (20 BC–40 AD),Hellenistic Judaism:Pythagorism:Stoicism:Platonism:,Early Christianity:,/wiki/Philo
469,Philodemus, (1st century BC),Zeno of Sidon:Epicurus:,Virgil:Horace:,/wiki/Philodemus
470,Philolaus, (c. 480 – c. 405 BC),Pythagoras:,Plato:Eurytus:,/wiki/Philolaus
471,John Philoponus, (early 6th century),Aristotle:,Jean Buridan:Bonaventure:Giovanni Pico della Mirandola:Galileo Galilei:,/wiki/John_Philoponus
472,Jean Piaget, (1896–1980),Immanuel Kant:Pierre Janet:Alfred Binet:Théodore Simon:James Mark Baldwin:Henri Bergson:Carl Jung:Sabina Spielrein:,Howard Gardner:Robert Kegan:John Flavell:Seymour Papert:Thomas Kuhn:Yann LeCun:Shlomo Wolbe:Lev Vygotsky:Jerome Bruner:Jordan Peterson:Bärbel Inhelder:Kenneth Kaye:Lawrence Kohlberg:,/wiki/Jean_Piaget
473,Giovanni Pico della Mirandola, (1463–1494),Aristotle:Nicholas of Cusa:Plato:Pseudo-Dionysius:Chaldean Oracles:Neoplatonism:Marsilio Ficino:Kabbalah:,Sir Thomas More:Erasmus:John Colet:Thomas Cajetan:,/wiki/Giovanni_Pico_della_Mirandola
474,Dimitri Pisarev, (1840–1868),Bakunin:Cooper:Macaulay:Dobrolyubov:Belinsky:Darwin:Turgenev:Gogol:Chernyshevsky:Dumas père:Stirner:,Dostoevsky:Lenin:Shelgunov:Zaytsev:Pavlov:Plekhanov:Nechayev:,/wiki/Dimitri_Pisarev
