,name,birth,incoming_links,outgoing_links,page
2248,Masao Abe,NA,Nishida Kitaro:,,/wiki/Masao_Abe
2249,Shin'ichi Hisamatsu,NA,Nishida Kitaro:,,/wiki/Shin%27ichi_Hisamatsu
2250,Shizuteru Ueda,NA,Nishida Kitaro:,,/wiki/Shizuteru_Ueda
2251,Murray Rothbard,NA,,Robert Nozick:,/wiki/Murray_Rothbard
2252,Henry Hazlitt,NA,,Robert Nozick:,/wiki/Henry_Hazlitt
2253,Milton Friedman,NA,,Robert Nozick:,/wiki/Milton_Friedman
2254,Roderick Long,NA,Robert Nozick:,,/wiki/Roderick_T._Long
2255,David Schmidtz,NA,Robert Nozick:,,/wiki/David_Schmidtz
2256,Tamar Gendler,NA,Robert Nozick:,,/wiki/Tamar_Gendler
2257,Ron Paul,NA,Robert Nozick:,,/wiki/Ron_Paul
2258,Rand Paul,NA,Robert Nozick:,,/wiki/Rand_Paul
2259,Lew Rockwell,NA,Robert Nozick:,,/wiki/Lew_Rockwell
2260,Stefan Molyneux,NA,Robert Nozick:,,/wiki/Stefan_Molyneux
2261,Walter Block,NA,Robert Nozick:,,/wiki/Walter_Block
2262,Thomas Sowell,NA,Robert Nozick:,,/wiki/Thomas_Sowell
2263,Thomas Ernest Woods Jr.,NA,Robert Nozick:,,/wiki/Tom_Woods
2264,Catharine MacKinnon,NA,,Martha Nussbaum:,/wiki/Catharine_A._MacKinnon
2265,G. E. L. Owen,NA,,Martha Nussbaum:,/wiki/G._E._L._Owen
2266,Linda Martín Alcoff,NA,Martha Nussbaum:,,/wiki/Linda_Mart%C3%ADn_Alcoff
2267,David G. Hebert,NA,Martha Nussbaum:,,/wiki/David_G._Hebert
2268,J. G. A. Pocock,NA,Michael Oakeshott:,,/wiki/J._G._A._Pocock
2269,Maurice Cowling,NA,Michael Oakeshott:,,/wiki/Maurice_Cowling
2270,Gertrude Himmelfarb,NA,Michael Oakeshott:,,/wiki/Gertrude_Himmelfarb
2271,Margaret Thatcher,NA,Michael Oakeshott:,,/wiki/Margaret_Thatcher
2272,Andrew Sullivan,NA,Michael Oakeshott:,,/wiki/Andrew_Sullivan
2273,Hayden White,NA,Michael Oakeshott:,,/wiki/Hayden_White
2274,Richard E. Flathman,NA,Michael Oakeshott:,,/wiki/Richard_E._Flathman
2275,Durandus of Saint-Pourçain,NA,,William of Ockham:,/wiki/Durandus_of_Saint-Pour%C3%A7ain
2276,Henry Harclay,NA,,William of Ockham:,/wiki/Henry_Harclay
2277,individualist anarchism,NA,,Michel Onfray:,/wiki/Individualist_anarchism
2278,Christine Korsgaard,NA,,"Onora O'Neill, Baroness O'Neill of Bengarve:",/wiki/Christine_Korsgaard
2279,Katrin Flikschuh,NA,"Onora O'Neill, Baroness O'Neill of Bengarve:",,/wiki/Katrin_Flikschuh
2280,María Zambrano,NA,José Ortega y Gasset:,,/wiki/Mar%C3%ADa_Zambrano
2281,Antonio Machado,NA,José Ortega y Gasset:,,/wiki/Antonio_Machado
2282,Mario Vargas Llosa,NA,José Ortega y Gasset:,,/wiki/Mario_Vargas_Llosa
2283,José Antonio Primo de Rivera,NA,José Ortega y Gasset:,,/wiki/Jos%C3%A9_Antonio_Primo_de_Rivera
2284,Alain de Benoist,NA,José Ortega y Gasset:,,/wiki/Alain_de_Benoist
2285,José Gaos,NA,José Ortega y Gasset:,,/wiki/Jos%C3%A9_Gaos
2286,Generation of '27,NA,José Ortega y Gasset:,,/wiki/Generation_of_%2727
2287,Davud Monshizadeh,NA,José Ortega y Gasset:,,/wiki/Davud_Monshizadeh
2288,Gregory Areshian,NA,José Ortega y Gasset:,,/wiki/Gregory_Areshian
2289,Jacobin,NA,,Thomas Paine:,/wiki/Jacobin
2290,Religious Society of Friends,NA,,Thomas Paine:,/wiki/Quakers
2291,Pierre Victurnien Vergniaud,NA,Thomas Paine:,,/wiki/Pierre_Victurnien_Vergniaud
2292,Abraham Lincoln,NA,Thomas Paine:,,/wiki/Abraham_Lincoln
2293,Thomas Edison,NA,Thomas Paine:,,/wiki/Thomas_Edison
2294,Mark Twain,NA,Thomas Paine:,,/wiki/Mark_Twain
2295,Jyotirao Phule,NA,Thomas Paine:,,/wiki/Jyotirao_Phule
2296,Moncure D. Conway,NA,Thomas Paine:,,/wiki/Moncure_D._Conway
2297,Robert G. Ingersoll,NA,Thomas Paine:,,/wiki/Robert_G._Ingersoll
2298,Antipater of Tarsus,NA,,Panaetius:,/wiki/Antipater_of_Tarsus
2299,Hecato,NA,Panaetius:,,/wiki/Hecato_of_Rhodes
2300,Hans von Campenhausen,NA,,Wolfhart Pannenberg:,/wiki/Hans_von_Campenhausen
2301,Gerhard von Rad,NA,,Wolfhart Pannenberg:,/wiki/Gerhard_von_Rad
2302,Edmund Schlink,NA,,Wolfhart Pannenberg:,/wiki/Edmund_Schlink
2303,Carl Braaten,NA,Wolfhart Pannenberg:,,/wiki/Carl_Braaten
2304,Robert Jenson,NA,Wolfhart Pannenberg:,,/wiki/Robert_Jenson
2305,Roger Olson,NA,Wolfhart Pannenberg:,,/wiki/Roger_E._Olson
2306,Ted Peters,NA,Wolfhart Pannenberg:,,/wiki/Ted_Peters_(theologian)
2307,Jon Sobrino,NA,Wolfhart Pannenberg:,,/wiki/Jon_Sobrino
2308,Hermeticism,NA,,Paracelsus:,/wiki/Hermeticism
2309,Johannes Trithemius,NA,,Paracelsus:,/wiki/Johannes_Trithemius
2310,Thomas Muffet,NA,Paracelsus:,,/wiki/Thomas_Muffet
2311,Franciscus Sylvius,NA,Paracelsus:,,/wiki/Franciscus_Sylvius
2312,Sir Thomas Browne,NA,Paracelsus:,,/wiki/Thomas_Browne
